ens_gene,target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00016943,acdh-1,1.14355775997548e-14,1.591374978781878e-10,68.00081967678088,66.93969567849382,3,6.449392049139344,6.085426879863071,0.01083280670943447,6.074594073153641,0.030037159707323517,6.074594073153641
WBGene00009429,irg-5,1.6051693979987462e-13,1.1168768671275277e-9,62.63773698782093,48.07337678060668,3,5.261536145376842,4.3703069800551555,0.018430482726901933,4.351876497328251,0.03960988588902769,4.351876497328251
WBGene00003093,lys-4,6.224174856605415e-13,2.887187243484032e-9,59.88375221898557,43.702622891675155,3,5.5020437881423465,3.9729657174250117,0.015385576270537644,3.957580141154476,0.037018675773428975,3.957580141154476
WBGene00018971,clec-67,2.3891035666581477e-12,8.311691308403696e-9,57.148395538730426,32.64488151638927,3,5.785248903751085,2.9677165014899347,0.010394964585090824,2.9573215369048427,0.03434274102191448,2.9573215369048427
WBGene00007867,C32H11.4,3.293285694234873e-12,9.165872744194498e-9,56.495352169493195,25.12987953127245,3,5.047294019350304,2.284534502842952,0.015591583250891005,2.2689429195920594,0.042240684521901085,2.2689429195920594
WBGene00012608,hphd-1,5.788666256727175e-12,1.3425846604769229e-8,55.34749036687257,17.231453807699598,3,6.899322714552804,1.5664958006999616,0.0023571397485650436,1.5641386609513983,0.028891353267973627,1.5641386609513983
WBGene00008584,irg-4,3.883464619406977e-11,7.720327663381071e-8,51.47062851680091,30.68647151454631,3,4.807458729502377,2.78967922859512,0.018675232308376734,2.7710039962867423,0.045509953854434425,2.7710039962867423
WBGene00011979,T24B8.5,5.5422529962059003e-11,9.640749086900164e-8,50.745620765323814,38.980422827858405,3,5.7290633081094295,3.5436748025325864,0.011164553784409304,3.532510248748173,0.034850872603416384,3.532510248748173
WBGene00000783,cpr-3,6.747893306606926e-11,1.043374258386022e-7,50.344319668527895,17.568006972681456,3,5.559797361273258,1.597091542971042,0.008893282401401404,1.58819826056964,0.03645488677092252,1.58819826056964
WBGene00004062,pmp-5,7.697544482489933e-11,1.071190290183299e-7,50.075831563321174,10.011805134184566,3,6.394288326426218,0.910164103107686,0.003164953013217499,0.9069991500944703,0.030288486316153336,0.9069991500944703
WBGene00010125,dod-22,1.3273937465155462e-10,1.6740538974421494e-7,48.964441041985566,35.35443012753583,3,4.667475965815277,3.214039102503259,0.0284198823063485,3.1856192201969087,0.04755701866463498,3.1856192201969087
WBGene00017199,clec-45,1.443564729038933e-10,1.6740538974421494e-7,48.7932781873973,129.21299133101184,3,3.139019063800933,11.74663557554653,0.10925971452721323,11.637375861019317,0.08254685198088858,11.637375861019317
WBGene00017500,pud-2.2,1.9594056862448602e-10,1.8178059686522316e-7,48.169868291910795,22.98637949406366,3,7.3470181395541925,2.0896708630966994,8.11714867566576e-4,2.0888591482291297,0.02908699558682743,2.0888591482291297
WBGene00017490,pud-2.1,1.9594056862448602e-10,1.8178059686522316e-7,48.169868291910795,22.98637949406366,3,7.3470181395541925,2.0896708630966994,8.11714867566576e-4,2.0888591482291297,0.02908699558682743,2.0888591482291297
