genotype	food	additive	replicate	sample	Nucleic Acid(ng/uL)	A260/A280	A260/A230	A260	A280	uL RNA (2ug)	uL H20 (20 total)	note
N2	tnaA	BW	1	I1	2378.849	2.217	2.498	59.471	26.83	0.84	19.16	ambiguous
cest-1.2	tnaA	BW	1	J1								ambiguous
N2	tnaA	none	1	K1	2134.243	2.212	2.38	53.356	24.122	0.94	19.06	ambiguous
cest-1.2	tnaA	none	1	L1	1367.11	2.199	2.441	34.178	15.543	1.46	18.54	
N2	tnaA	TA	1	M1	1576.465	2.198	2.241	39.412	17.934	1.27	18.73	
cest-1.2	tnaA	TA	1	N1	2463.254	2.19	2.406	61.581	28.124	0.81	19.19	
N2	tnaA	BW	2	I2	947.605	2.145	2.392	23.69	11.044	2.11	17.89	
cest-1.2	tnaA	BW	2	J2	1498.27	2.177	2.428	37.457	17.209	1.33	18.67	
N2	tnaA	none	2	K2	541.072	2.092	2.028	13.527	6.465	3.7	16.3	
cest-1.2	tnaA	none	2	L2	1722.799	2.185	2.39	43.07	19.709	1.16	18.84	
N2	tnaA	TA	2	M2	1418.178	2.172	2.46	35.454	16.324	1.41	18.59	
cest-1.2	tnaA	TA	2	N2	1093.551	2.162	2.409	27.339	12.643	1.83	18.17	
N2	tnaA	BW	3	I3	1870.218	2.177	1.216	46.755	21.476	1.07	18.93	ambiguous
cest-1.2	tnaA	BW	3	J3	2457.805	2.186	2.294	61.445	28.11	0.81	19.19	
N2	tnaA	none	3	K3	1075.159	2.186	1.665	26.879	12.296	1.86	18.14	
cest-1.2	tnaA	none	3	L3	2423.678	2.229	2.472	60.592	27.182	0.83	19.17	
N2	tnaA	TA	3	M3	1953.919	2.185	1.137	48.848	22.357	1.02	18.98	
cest-1.2	tnaA	TA	3	N3	1768.027	2.206	2.302	44.201	20.041	1.13	18.87	
