genotype	food	additive	replicate	sample	Nucleic Acid(ng/uL)	A260/A280	A260/A230	A260	A280	uL RNA (2ug)	uL H20 (20 total)	sample_label	note
N2	OP50	none		O1	2014.354	2.198	2.114	50.359	22.908	0.99	19.01	A1	
N2	JUb39	none		P1	4000.021	2.202	2.077	100.001	45.415	0.50	19.50	B1	
N2	MOYb033	none		Q1	1573.456	2.183	1.586	39.336	18.017	1.27	18.73	C1	
N2	Coculture	none		R1	1642.115	2.189	2.438	41.053	18.753	1.22	18.78	D1	
N2	OP50	none		O2	2290.459	2.206	1.998	57.261	25.961	0.87	19.13	E1	
N2	JUb39	none		P2	3858.246	2.188	2.147	96.456	44.074	0.52	19.48	F1	
N2	MOYb033	none		Q2	1285.267	2.172	0.956	32.132	14.793	1.56	18.44	G1	
N2	Coculture	none		R2	1833.776	2.192	2.293	45.844	20.911	1.09	18.91	H1	
N2	OP50	none		O3	1967.398	2.189	2.379	49.185	22.465	1.02	18.98	I1	
N2	JUb39	none		P3	3003.945	2.177	2.246	75.099	34.499	0.67	19.33	J1	
N2	MOYb033	none		Q3	906.564	2.144	2.3	22.664	10.572	2.21	17.79	K1	
N2	Coculture	none		R3	1515.913	2.165	2.347	37.898	17.502	1.32	18.68	L1	
