genotype	food	additive	replicate	sample	Nucleic Acid(ng/uL)	A260/A280	A260/A230	A260	A280	uL RNA (2ug)	uL H20 (20 total)
N2	OP50	none	1	A1	1673.579	2.192	2.01	41.839	19.085	1.2	18.8
N2	OP50	none	2	A2	1125.732	2.16	2.086	28.143	13.029	1.78	18.22
N2	OP50	none	3	A3	1673.056	2.205	2.244	41.826	18.972	1.2	18.8
cest-1.2	OP50	none	1	B1	1237.365	2.182	2.389	30.934	14.178	1.62	18.38
cest-1.2	OP50	none	2	B2	1018.814	2.163	2.197	25.47	11.776	1.96	18.04
cest-1.2	OP50	none	3	B3	1770.902	2.211	1.695	44.273	20.024	1.13	18.87
cest-2.1	OP50	none	1	C1							
cest-2.1	OP50	none	2	C2	612.238	2.134	2.204	15.306	7.172	3.27	16.73
cest-2.1	OP50	none	3	C3	1379.095	2.198	1.92	34.477	15.687	1.45	18.55
cest-4	OP50	none	1	D1	750.917	2.155	2.261	18.773	8.712	2.66	17.34
cest-4	OP50	none	2	D2	1287.126	2.177	1.772	32.178	14.78	1.55	18.45
cest-4	OP50	none	3	D3	1505.36	2.21	2.321	37.634	17.031	1.33	18.67
