target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1674.73	3088.54	56.2335
Y110A7A.10.2	1787	1645.73	0.380468	0.00704929
F27C8.1.1	1739	1597.73	273.357	5.21691
F27C8.1.2	1931	1789.73	18.643	0.317625
F07C3.7	1738	1596.73	644	12.2982
F52H2.2a	1740	1598.73	455.165	8.68121
F52H2.2b	1738	1596.73	78.835	1.50548
T13A10.10a	1796	1654.73	528.288	9.73487
T13A10.10b	1598	1456.73	34.712	0.726586
C55C2.5a	1834	1692.73	134.042	2.41458
C55C2.5b	1606	1464.73	0	0
C55C2.5c	1671	1529.73	8.95761	0.178552
C55C2.5d	1618	1476.73	0	0
T11F9.4a	1750	1608.73	157.031	2.97637
T11F9.4b	1682	1540.73	414.969	8.21251
F54D12.3	1503	1361.73	44	0.985254
F28F9.4	1464	1322.73	44	1.0143
Y53H1C.1a	2080	1938.73	2085.35	32.7981
Y53H1C.1b	1958	1816.73	255.242	4.28399
C50F2.9	258	129.163	16	3.77719
C50F2.10	358	219.742	19	2.63649
F54B8.5	270	139.287	0	0
Y38H6C.22	381	241.925	19	2.39474
T22H6.5	606	464.73	144	9.44818
T22H6.7	702	560.73	252	13.7036
M79.1a	4081	3939.73	775.258	6.00021
M79.1b	4012	3870.73	689.108	5.42851
M79.1c	3997	3855.73	21.6342	0.171088
C24F3.5a	4719	4577.73	272	1.81178
C24F3.5b	4730	4588.73	0	0
F12B6.1a	6670	6528.73	0.0352645	0.000164701
F12B6.1b	6624	6482.73	571.965	2.69028
Y39D8C.1	5546	5404.73	1371	7.73481
Y53C10A.9	4805	4663.73	198	1.29455
AC3.3	1405	1263.73	242.956	5.86218
F19G12.7	1719	1577.73	1	0.0193265
Y5H2A.3	1060	918.73	3	0.099568
Y105C5A.4	1008	866.73	0	0
C03A7.7	1174	1032.73	142.634	4.21136
C03A7.8	1317	1175.73	136.119	3.5302
C03A7.14.1	1523	1381.73	303.751	6.70317
C03A7.14.2	1506	1364.73	46.7242	1.04395
R09F10.2	1212	1070.73	70.0948	1.99615
F35A5.3	1271	1129.73	98	2.64507
T01D1.6	1273	1131.73	185	4.98443
W09B12.1.1	2532	2390.73	149.421	1.90575
W09B12.1.2	2468	2326.73	129.579	1.69815
Y44E3A.2	2208	2066.73	399	5.88675
Y48B6A.8	2202	2060.73	84	1.24292
Y48B6A.7	1930	1788.73	7	0.119327
C42D8.5a.1	3082	2940.73	638.779	6.62341
C42D8.5a.2	3105	2963.73	619.511	6.37377
C42D8.5b	1383	1241.73	87.1314	2.13961
ZK455.1.1	2831	2689.73	6579.23	74.5852
ZK455.1.2	3072	2930.73	133.768	1.39175
F54H12.1a	2739	2597.73	23608.1	277.111
F54H12.1c.1	2562	2420.73	97.6835	1.23044
F54H12.1c.2	2500	2358.73	1.83346e-07	2.37017e-09
K11G12.2	1957	1815.73	25	0.419832
K11G12.7	1659	1517.73	20	0.401811
K03F8.2	1800	1658.73	47	0.86399
ZK973.5	1666	1524.73	5	0.0999916
T09A5.3	1692	1550.73	45.1349	0.887489
ZC504.2.1	1770	1628.73	163.433	3.05969
ZC504.2.2	1732	1590.73	2.5668	0.0492019
C40C9.2	1909	1767.73	26	0.448481
