target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1643.14	539	22.8008
Y110A7A.10.2	1787	1614.14	0	0
F27C8.1.1	1739	1566.14	34	1.50898
F27C8.1.2	1931	1758.14	0	0
F07C3.7	1738	1565.14	64	2.84225
F52H2.2a	1740	1567.14	1.32236e-07	5.86512e-09
F52H2.2b	1738	1565.14	135	5.99537
T13A10.10a	1796	1623.14	57	2.44092
T13A10.10b	1598	1425.14	0	0
C55C2.5a	1834	1661.14	31.2788	1.30882
C55C2.5b	1606	1433.14	0	0
C55C2.5c	1671	1498.14	5.72116	0.26544
C55C2.5d	1618	1445.14	0	0
T11F9.4a	1750	1577.14	80	3.52578
T11F9.4b	1682	1509.14	0	0
F54D12.3	1503	1330.14	23	1.20189
F28F9.4	1464	1291.14	5	0.269173
Y53H1C.1a	2080	1907.14	461.426	16.8172
Y53H1C.1b	1958	1785.14	76.5745	2.98159
C50F2.9	258	103.832	4	2.67771
C50F2.10	358	191.913	3	1.08656
F54B8.5	270	113.209	0	0
Y38H6C.22	381	213.463	6	1.95373
T22H6.5	606	433.653	20	3.2057
T22H6.7	702	529.404	33	4.33273
M79.1a	4081	3908.14	123.183	2.19087
M79.1b	4012	3839.14	123.406	2.23428
M79.1c	3997	3824.14	9.41081	0.171052
C24F3.5a	4719	4546.14	16.1912	0.247556
C24F3.5b	4730	4557.14	0.80876	0.0123357
F12B6.1a	6670	6497.14	159.945	1.71114
F12B6.1b	6624	6451.14	0.0546163	0.000588466
Y39D8C.1	5546	5373.14	382	4.94163
Y53C10A.9	4805	4632.14	14	0.210079
AC3.3	1405	1232.14	43.4065	2.44867
F19G12.7	1719	1546.14	0	0
Y5H2A.3	1060	887.14	0	0
Y105C5A.4	1008	835.14	0	0
C03A7.7	1174	1001.14	8.51496	0.591185
C03A7.8	1317	1144.14	17.7384	1.07763
C03A7.14.1	1523	1350.14	63.4676	3.26745
C03A7.14.2	1506	1333.14	0	0
R09F10.2	1212	1039.14	9	0.60201
F35A5.3	1271	1098.14	23	1.45581
T01D1.6	1273	1100.14	18	1.13726
W09B12.1.1	2532	2359.14	0	0
W09B12.1.2	2468	2295.14	39	1.18111
Y44E3A.2	2208	2035.14	92	3.14216
Y48B6A.8	2202	2029.14	19	0.650844
Y48B6A.7	1930	1757.14	6	0.237345
C42D8.5a.1	3082	2909.14	203.349	4.85861
C42D8.5a.2	3105	2932.14	0.0116773	0.000276816
C42D8.5b	1383	1210.14	4.63956	0.266487
ZK455.1.1	2831	2658.14	2192	57.3189
ZK455.1.2	3072	2899.14	0	0
F54H12.1a	2739	2566.14	6676.12	180.834
F54H12.1c.1	2562	2389.14	15.8759	0.461884
F54H12.1c.2	2500	2327.14	0	0
K11G12.2	1957	1784.14	5	0.194794
