target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1680.94	2593.77	59.3851
Y110A7A.10.2	1787	1651.94	0.541131	0.0126068
F27C8.1.1	1739	1603.94	190.231	4.56447
F27C8.1.2	1931	1795.94	46.7693	1.00223
F07C3.7	1738	1602.94	535	12.845
F52H2.2a	1740	1604.94	392.929	9.42221
F52H2.2b	1738	1602.94	12.0712	0.289822
T13A10.10a	1796	1660.94	395.886	9.17304
T13A10.10b	1598	1462.94	47.1145	1.23944
C55C2.5a	1834	1698.94	87.3737	1.97925
C55C2.5b	1606	1470.94	0	0
C55C2.5c	1671	1535.94	9.62631	0.241203
C55C2.5d	1618	1482.94	0	0
T11F9.4a	1750	1614.94	195.378	4.65604
T11F9.4b	1682	1546.94	316.622	7.87708
F54D12.3	1503	1367.94	46	1.29416
F28F9.4	1464	1328.94	43	1.24526
Y53H1C.1a	2080	1944.94	1635.35	32.3595
Y53H1C.1b	1958	1822.94	177.651	3.75053
C50F2.9	258	134.203	7	2.0074
C50F2.10	358	226.018	10	1.70277
F54B8.5	270	144.713	1	0.265944
Y38H6C.22	381	248.207	5	0.775272
T22H6.5	606	470.943	90	7.35483
T22H6.7	702	566.943	197	13.3729
M79.1a	4081	3945.94	562.197	5.48322
M79.1b	4012	3876.94	374.598	3.71855
M79.1c	3997	3861.94	22.2057	0.221288
C24F3.5a	4719	4583.94	224.986	1.88892
C24F3.5b	4730	4594.94	0.0143455	0.000120153
F12B6.1a	6670	6534.94	0.0298263	0.000175653
F12B6.1b	6624	6488.94	376.97	2.23579
Y39D8C.1	5546	5410.94	1064	7.56776
Y53C10A.9	4805	4669.94	122	1.00542
AC3.3	1405	1269.94	99.2767	3.00858
F19G12.7	1719	1583.94	0	0
Y5H2A.3	1060	924.943	8.33683	0.346884
Y105C5A.4	1008	872.943	0	0
C03A7.7	1174	1038.94	57.2459	2.12056
C03A7.8	1317	1181.94	51.3308	1.6714
C03A7.14.1	1523	1387.94	111.338	3.08723
C03A7.14.2	1506	1370.94	19.5118	0.547742
R09F10.2	1212	1076.94	0	0
F35A5.3	1271	1135.94	40	1.3552
T01D1.6	1273	1137.94	57	1.92776
W09B12.1.1	2532	2396.94	0	0
W09B12.1.2	2468	2332.94	225	3.71173
Y44E3A.2	2208	2072.94	225	4.17728
Y48B6A.8	2202	2066.94	46	0.856501
Y48B6A.7	1930	1794.94	12	0.257294
C42D8.5a.1	3082	2946.94	583.687	7.62266
C42D8.5a.2	3105	2969.94	35.2772	0.457134
C42D8.5b	1383	1247.94	65.3457	2.01521
ZK455.1.1	2831	2695.94	4804.44	68.5852
ZK455.1.2	3072	2936.94	36.5595	0.479074
F54H12.1a	2739	2603.94	16821.2	248.614
F54H12.1c.1	2562	2426.94	35.5833	0.564268
F54H12.1c.2	2500	2364.94	0	0
K11G12.2	1957	1821.94	29	0.612578
K11G12.7	1659	1523.94	10	0.25254
K03F8.2	1800	1664.94	37	0.855265
ZK973.5	1666	1530.94	2	0.050277
T09A5.3	1692	1556.94	26	0.642686
ZC504.2.1	1770	1634.94	113.822	2.67929
ZC504.2.2	1732	1596.94	0.178457	0.00430073
C40C9.2	1909	1773.94	20	0.433899
R02E12.8	1680	1544.94	5	0.124554
D2092.3	1386	1250.94	47	1.44597
R01E6.4a	2015	1879.94	46.4705	0.95133
R01E6.4b	1570	1434.94	22.5295	0.604248
T05C12.2	1595	1459.94	13	0.342694
F25G6.4	1506	1370.94	102	2.86338
