target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1676.93	2591.38	61.0742
Y110A7A.10.2	1787	1647.93	0.00464905	0.000111498
F27C8.1.1	1739	1599.93	171	4.22413
F27C8.1.2	1931	1791.93	0	0
F07C3.7	1738	1598.93	369	9.12093
F52H2.2a	1740	1600.93	385	9.50453
F52H2.2b	1738	1598.93	0	0
T13A10.10a	1796	1656.93	280.102	6.6812
T13A10.10b	1598	1458.93	24.8979	0.674482
C55C2.5a	1834	1694.93	89.444	2.08565
C55C2.5b	1606	1466.93	0	0
C55C2.5c	1671	1531.93	7.55597	0.194937
C55C2.5d	1618	1478.93	0	0
T11F9.4a	1750	1610.93	241.811	5.93256
T11F9.4b	1682	1542.93	129.189	3.30918
F54D12.3	1503	1363.93	40	1.15907
F28F9.4	1464	1324.93	29	0.865062
Y53H1C.1a	2080	1940.93	1831.53	37.2947
Y53H1C.1b	1958	1818.93	219.469	4.7687
C50F2.9	258	131.725	6	1.80023
C50F2.10	358	222.728	10	1.77446
F54B8.5	270	142.037	0	0
Y38H6C.22	381	244.79	3	0.484362
T22H6.5	606	467.051	40	3.38485
T22H6.7	702	563.003	107	7.51131
M79.1a	4081	3941.93	689.214	6.91015
M79.1b	4012	3872.93	452.507	4.61773
M79.1c	3997	3857.93	18.2792	0.18726
C24F3.5a	4719	4579.93	193.996	1.67408
C24F3.5b	4730	4590.93	0.00357435	3.07708e-05
F12B6.1a	6670	6530.93	0.0288665	0.000174688
F12B6.1b	6624	6484.93	469.971	2.86423
Y39D8C.1	5546	5406.93	1468	10.7305
Y53C10A.9	4805	4665.93	118	0.999508
AC3.3	1405	1265.93	212.621	6.638
F19G12.7	1719	1579.93	0	0
Y5H2A.3	1060	920.933	8	0.343325
Y105C5A.4	1008	868.933	0	0
C03A7.7	1174	1034.93	118.876	4.53969
C03A7.8	1317	1177.93	159.565	5.35377
C03A7.14.1	1523	1383.93	204.575	5.84227
C03A7.14.2	1506	1366.93	47.0196	1.35949
R09F10.2	1212	1072.93	46.2847	1.70494
F35A5.3	1271	1131.93	52	1.81562
T01D1.6	1273	1133.93	153	5.3327
W09B12.1.1	2532	2392.93	37.3896	0.617537
W09B12.1.2	2468	2328.93	135.61	2.30133
Y44E3A.2	2208	2068.93	302	5.76904
Y48B6A.8	2202	2062.93	48	0.9196
Y48B6A.7	1930	1790.93	7	0.154476
C42D8.5a.1	3082	2942.93	773.965	10.394
C42D8.5a.2	3105	2965.93	189.5	2.52517
C42D8.5b	1383	1243.93	0	0
ZK455.1.1	2831	2691.93	5503.32	80.7985
