target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1679.18	1898.44	60.1641
Y110A7A.10.2	1787	1650.18	4.26206e-07	1.37444e-08
F27C8.1.1	1739	1602.18	144.621	4.80349
F27C8.1.2	1931	1794.18	37.3788	1.10865
F07C3.7	1738	1601.18	407	13.5267
F52H2.2a	1740	1603.18	305.001	10.1241
F52H2.2b	1738	1601.18	14.9987	0.498484
T13A10.10a	1796	1659.18	362.627	11.6306
T13A10.10b	1598	1461.18	37.3726	1.36109
C55C2.5a	1834	1697.18	79	2.47706
C55C2.5b	1606	1469.18	0	0
C55C2.5c	1671	1534.18	0	0
C55C2.5d	1618	1481.18	0	0
T11F9.4a	1750	1613.18	149.947	4.94643
T11F9.4b	1682	1545.18	171.053	5.89098
F54D12.3	1503	1366.18	25	0.973797
F28F9.4	1464	1327.18	21	0.842026
Y53H1C.1a	2080	1943.18	1138.42	31.1764
Y53H1C.1b	1958	1821.18	147.58	4.31231
C50F2.9	258	133.82	2	0.795328
C50F2.10	358	224.654	9	2.13189
F54B8.5	270	144.06	0	0
Y38H6C.22	381	246.947	2	0.430986
T22H6.5	606	469.238	60	6.80449
T22H6.7	702	565.184	142	13.3701
M79.1a	4081	3944.18	474.547	6.40266
M79.1b	4012	3875.18	288.453	3.96113
M79.1c	3997	3860.18	0	0
C24F3.5a	4719	4582.18	184	2.13689
C24F3.5b	4730	4593.18	0	0
F12B6.1a	6670	6533.18	233.99	1.90594
F12B6.1b	6624	6487.18	7.01009	0.0575049
Y39D8C.1	5546	5409.18	550	5.41089
Y53C10A.9	4805	4668.18	100	1.13996
AC3.3	1405	1268.18	74.2988	3.11772
F19G12.7	1719	1582.18	0	0
Y5H2A.3	1060	923.184	6.91065	0.398353
Y105C5A.4	1008	871.184	0	0
C03A7.7	1174	1037.18	60.7029	3.11452
C03A7.8	1317	1180.18	43.9028	1.97961
C03A7.14.1	1523	1386.18	65.839	2.52755
C03A7.14.2	1506	1369.18	46.5335	1.8086
R09F10.2	1212	1075.18	30	1.48483
F35A5.3	1271	1134.18	18	0.844552
T01D1.6	1273	1136.18	60	2.81022
W09B12.1.1	2532	2395.18	0	0
W09B12.1.2	2468	2331.18	171	3.90353
Y44E3A.2	2208	2071.18	169	4.34216
Y48B6A.8	2202	2065.18	35	0.901876
Y48B6A.7	1930	1793.18	5	0.148383
C42D8.5a.1	3082	2945.18	537.359	9.70934
C42D8.5a.2	3105	2968.18	0.020164	0.000361513
C42D8.5b	1383	1246.18	23.621	1.00868
ZK455.1.1	2831	2694.18	3814.82	75.3502
ZK455.1.2	3072	2935.18	12.1792	0.220811
F54H12.1a	2739	2602.18	12317.8	251.902
F54H12.1c.1	2562	2425.18	0	0
F54H12.1c.2	2500	2363.18	0	0
K11G12.2	1957	1820.18	20	0.584726
K11G12.7	1659	1522.18	12	0.419519
K03F8.2	1800	1663.18	20	0.639922
ZK973.5	1666	1529.18	1	0.0347999
T09A5.3	1692	1555.18	11	0.376399
ZC504.2.1	1770	1633.18	95	3.09547
ZC504.2.2	1732	1595.18	0	0
C40C9.2	1909	1772.18	9	0.270253
R02E12.8	1680	1543.18	11	0.379326
D2092.3	1386	1249.18	36	1.53361
R01E6.4a	2015	1878.18	42.2064	1.19585
R01E6.4b	1570	1433.18	1.79361	0.0665985
T05C12.2	1595	1458.18	3	0.109483
F25G6.4	1506	1369.18	92	3.57572
F25G6.3	1822	1685.18	128.045	4.04345
F53E10.2a	2249	2112.18	0	0
F53E10.2b	1616	1479.18	12.8789	0.463334
F53E10.2c	2333	2196.18	10.8242	0.26228
F53E10.2d	438	302.459	0	0
F53E10.2e	1155	1018.18	0	0
F53E10.2f	1071	934.184	0	0
