target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1641.21	655	28.8569
Y110A7A.10.2	1787	1612.21	0.000233713	1.04817e-05
F27C8.1.1	1739	1564.21	60	2.77351
F27C8.1.2	1931	1756.21	0	0
F07C3.7	1738	1563.21	89	4.11666
F52H2.2a	1740	1565.21	146.536	6.76931
F52H2.2b	1738	1563.21	37.464	1.73289
T13A10.10a	1796	1621.21	52.0592	2.32183
T13A10.10b	1598	1423.21	17.9408	0.911479
C55C2.5a	1834	1659.21	52.0488	2.2682
C55C2.5b	1606	1431.21	0	0
C55C2.5c	1671	1496.21	5.95119	0.287597
C55C2.5d	1618	1443.21	0	0
T11F9.4a	1750	1575.21	92.6595	4.25328
T11F9.4b	1682	1507.21	56.3405	2.70284
F54D12.3	1503	1328.21	2	0.108877
F28F9.4	1464	1289.21	9	0.504768
Y53H1C.1a	2080	1905.21	518.808	19.6896
Y53H1C.1b	1958	1783.21	105.192	4.26533
C50F2.9	258	104.688	0	0
C50F2.10	358	191.196	7	2.64724
F54B8.5	270	113.851	0	0
Y38H6C.22	381	212.543	9	3.06175
T22H6.5	606	431.674	39	6.53253
T22H6.7	702	527.297	48	6.58202
M79.1a	4081	3906.21	127.544	2.3609
M79.1b	4012	3837.21	323.456	6.09498
M79.1c	3997	3822.21	0	0
C24F3.5a	4719	4544.21	27.922	0.444284
C24F3.5b	4730	4555.21	1.07803	0.0171119
F12B6.1a	6670	6495.21	141.361	1.57365
F12B6.1b	6624	6449.21	305.639	3.4267
Y39D8C.1	5546	5371.21	1064	14.3233
Y53C10A.9	4805	4630.21	34	0.530947
AC3.3	1405	1230.21	83.3595	4.89946
F19G12.7	1719	1544.21	0	0
Y5H2A.3	1060	885.212	4	0.326728
Y105C5A.4	1008	833.212	0	0
C03A7.7	1174	999.212	37.6715	2.72602
C03A7.8	1317	1142.21	42.5715	2.69492
C03A7.14.1	1523	1348.21	105.933	5.68128
C03A7.14.2	1506	1331.21	21.6462	1.17573
R09F10.2	1212	1037.21	18	1.25481
F35A5.3	1271	1096.21	28	1.84687
T01D1.6	1273	1098.21	44	2.89694
W09B12.1.1	2532	2357.21	0	0
W09B12.1.2	2468	2293.21	87	2.74314
Y44E3A.2	2208	2033.21	150	5.33435
Y48B6A.8	2202	2027.21	52	1.85472
Y48B6A.7	1930	1755.21	11	0.453144
C42D8.5a.1	3082	2907.21	391.99	9.74927
C42D8.5a.2	3105	2930.21	0.00970074	0.000239375
C42D8.5b	1383	1208.21	0	0
ZK455.1.1	2831	2656.21	2439	66.393
ZK455.1.2	3072	2897.21	0	0
F54H12.1a	2739	2564.21	7661.34	216.035
F54H12.1c.1	2562	2387.21	76.6495	2.32162
F54H12.1c.2	2500	2325.21	0	0
K11G12.2	1957	1782.21	12	0.48685
K11G12.7	1659	1484.21	4	0.194867
K03F8.2	1800	1625.21	10	0.444901
ZK973.5	1666	1491.21	0	0
T09A5.3	1692	1517.21	8	0.381256
ZC504.2.1	1770	1595.21	29	1.31448
ZC504.2.2	1732	1557.21	0	0
C40C9.2	1909	1734.21	5	0.208469
R02E12.8	1680	1505.21	5	0.240185
D2092.3	1386	1211.21	6	0.358183
R01E6.4a	2015	1840.21	16.5412	0.64994
R01E6.4b	1570	1395.21	0.458777	0.0237758
T05C12.2	1595	1420.21	3	0.152736
F25G6.4	1506	1331.21	17	0.923369
F25G6.3	1822	1647.21	35	1.53636
F53E10.2a	2249	2074.21	0	0
F53E10.2b	1616	1441.21	3.85049	0.19318
F53E10.2c	2333	2158.21	12.2039	0.408862
F53E10.2d	438	266.722	0	0
F53E10.2e	1155	980.212	0	0
F53E10.2f	1071	896.212	0	0
F53E10.2g	1532	1357.21	0	0
F53E10.2h	287	128.11	0	0
F53E10.2i	176	48.048	0	0
F28F8.1	1617	1442.21	19	0.952572
C31H5.3a	1858	1683.21	7	0.300699
C31H5.3b	1841	1666.21	0	0
R06A4.10a	1702	1527.21	0.102345	0.00484552
R06A4.10b	1693	1518.21	0	0
R06A4.10c	1841	1666.21	11.8977	0.516303
F27B3.2	1460	1285.21	6	0.337559
F48E3.7	1435	1260.21	4	0.229504
F59B1.9a	1692	1517.21	0	0
F59B1.9b	1659	1484.21	5	0.243583
T04C12.6.1	1366	1191.21	39.7848	2.41491
T04C12.6.2	1277	1102.21	4012.56	263.227
T04C12.6.3	1264	1089.21	0	0
T04C12.6.4	1346	1171.21	10983.1	678.049
T04C12.5.1	1335	1160.21	12589.7	784.605
T04C12.5.2	1321	1146.21	39.3933	2.48503
T04C12.5.3	1335	1160.21	669.664	41.7343
T04C12.4.1	1558	1383.21	4989.44	260.817
T04C12.4.2	1553	1378.21	17.4457	0.915263
T04C12.4.3	1474	1299.21	5451.36	303.388
M03F4.2a	1669	1494.21	70.2541	3.39964
M03F4.2b.1	1596	1421.21	0	0
M03F4.2b.2	1606	1431.21	14103.8	712.535
M03F4.2b.3	1599	1424.21	8.8127	0.447412
M03F4.2b.4	1541	1366.21	0	0
M03F4.2b.5	1603	1428.21	26.2378	1.32834
M03F4.2b.6	1576	1401.21	0	0
M03F4.2c	1633	1458.21	67.0897	3.32666
T25C8.2.1	1344	1169.21	1106.01	68.3974
T25C8.2.2	1270	1095.21	5711.37	377.065
T25C8.2.3	1343	1168.21	0	0
F17C8.1	4203	4028.21	130	2.33348
C10F3.3	3343	3168.21	20	0.456446
C44F1.5.1	4149	3974.21	72.9213	1.32671
C44F1.5.2	4040	3865.21	97.0787	1.81603
T01C2.1	3265	3090.21	117	2.73761
F39C12.2a	2213	2038.21	0	0
F39C12.2b	2533	2358.21	65.2693	2.00124
F39C12.2c	2443	2268.21	0	0
F39C12.2d	2049	1874.21	14.4742	0.558403
F39C12.2e	2611	2436.21	28.2566	0.838644
F57F5.4a.1	2032	1857.21	0	0
F57F5.4a.2	1990	1815.21	0	0
F57F5.4a.3	1974	1799.21	195.142	7.84228
F57F5.4b	1052	877.212	14.8578	1.22468
C04A11.4	3207	3032.21	415	9.89605
ZK154.7	2340	2165.21	250	8.34859
H15N14.1c	3023	2848.21	942.888	23.9365
H15N14.1d	2851	2676.21	33.2022	0.897057
H15N14.1e	3123	2948.21	587.76	14.415
H15N14.1f	3119	2944.21	151.062	3.70987
H15N14.1g	370	202.215	19.0887	6.82552
T20H4.4.1	1622	1447.21	955	47.7139
T20H4.4.2	1697	1522.21	0	0
Y50D7A.7	1882	1707.21	1403	59.4215
C02B4.1	4802	4627.21	156	2.43769
F08C6.1a.1	3905	3730.21	169.194	3.27963
F08C6.1a.2	3783	3608.21	147.339	2.95257
F08C6.1b.1	2883	2708.21	86.918	2.3206
F08C6.1b.2	1133	958.212	4.1487	0.313057
F08C6.1c.1	3149	2974.21	60.1265	1.46173
F08C6.1c.2	3027	2852.21	48.2733	1.22377
D2030.10a.1	3225	3050.21	118	2.79721
D2030.10a.2	3268	3093.21	7.7385e-07	1.80893e-08
D2030.10b	3239	3064.21	0	0
T14B1.2	1220	1045.21	11	0.76096
C02H7.3a	4574	4399.21	50.793	0.834838
C02H7.3b	4428	4253.21	125.207	2.12856
F32A7.6	1796	1621.21	149.657	6.67468
Y87G2A.4	961	786.212	33	3.03492
B0334.8a	3942	3767.21	1247.45	23.9429
B0334.8b	3978	3803.21	150.551	2.86223
F32A6.4a.1	2176	2001.21	0	0
F32A6.4a.2	2137	1962.21	202.468	7.46078
F32A6.4b	1941	1766.21	11.8657	0.485763
F32A6.4c	1787	1612.21	16.2723	0.729795
F32A6.4d	1493	1318.21	0	0
F32A6.4e	1921	1746.21	0	0
F32A6.4f	1107	932.212	3.94948e-05	3.06337e-06
F32A6.4g.1	1107	932.212	3.94948e-05	3.06337e-06
F32A6.4g.2	879	704.26	0	0
F32A6.4g.3	733	558.26	17.3937	2.25283
Y62E10A.5a.1	689	514.297	161.673	22.7299
Y62E10A.5a.2	595	420.733	0	0
Y62E10A.5b	574	399.843	2.32678	0.420764
F09E5.13	1069	894.212	276	22.3173
C25A1.11a	1606	1431.21	196	9.90206
C25A1.11b	1600	1425.21	0	0
C41G7.5a	1841	1666.21	2	0.0867907
C41G7.5b	1803	1628.21	0	0
F58E10.4	1059	884.212	415	33.9364
K07C11.2.1	1421	1246.21	207.702	12.051
K07C11.2.2	1343	1168.21	1598.3	98.9258
B0207.4	1121	946.212	792	60.5216
C25A11.4a	4732	4557.21	5.56089e-05	8.82305e-07
C25A11.4b	5172	4997.21	568.987	8.23281
C25A11.4c.1	5187	5012.21	1.2141e-05	1.75145e-07
C25A11.4c.2	5141	4966.21	305.337	4.44557
C25A11.4d	6017	5842.21	180.358	2.23219
C25A11.4e	3987	3812.21	3.60435e-07	6.83633e-09
C25A11.4f.1	6140	5965.21	0	0
C25A11.4f.2	6044	5869.21	0	0
C25A11.4g	5013	4838.21	165.704	2.47641
C25A11.4h	4437	4262.21	1.21855	0.0206719
C25A11.4i	4311	4136.21	184.161	3.21935
C25A11.4j	4289	4114.21	0	0
C25A11.4k	5527	5352.21	0	0
C25A11.4l	4999	4824.21	0	0
C25A11.4m	4867	4692.21	171.234	2.63867
D1022.7a.1	4299	4124.21	102.419	1.79561
D1022.7a.2	4264	4089.21	3.19624	0.0565163
D1022.7b.1	4311	4136.21	1825.78	31.9168
D1022.7b.2	4279	4104.21	1325.33	23.3489
D1022.7c.1	1991	1816.21	136.814	5.44675
D1022.7c.2	1953	1778.21	0.460711	0.0187335
C12D8.10a.1	2069	1894.21	1629.4	62.1973
C12D8.10a.2	2119	1944.21	36.6566	1.36327
C12D8.10b.1	2084	1909.21	96.5227	3.65551
C12D8.10b.2	2134	1959.21	2.24483	0.0828467
C12D8.10c	1996	1821.21	7.17824	0.284991
F28H6.1a	2002	1827.21	106	4.1946
F28H6.1b	2381	2206.21	0	0
F48F7.1a	4592	4417.21	237.798	3.89254
F48F7.1b	5001	4826.21	991.202	14.8501
T07D3.7a	3238	3063.21	852.808	20.1302
T07D3.7b	3203	3028.21	396.192	9.46002
F54D8.3a.1	1608	1433.21	2084.85	105.181
F54D8.3a.2	1690	1515.21	545.754	26.0433
F54D8.3b.1	1607	1432.21	0	0
F54D8.3b.2	1693	1518.21	8.60901	0.41001
F54D8.3b.3	1666	1491.21	5.78846	0.280671
F54D8.3b.4	1387	1212.21	0	0
K04F1.15	1641	1466.21	1	0.0493147
F36H1.6	2864	2689.21	1394	37.481
T05H4.13a.1	1595	1420.21	308.022	15.682
T05H4.13a.2	1582	1407.21	0.0593408	0.00304907
T05H4.13b.1	1933	1758.21	980.963	40.3417
T05H4.13b.2	1920	1745.21	1.02023	0.0422693
T05H4.13c.1	1816	1641.21	264.774	11.665
T05H4.13c.2	1803	1628.21	0.162719	0.00722606
T08B1.3	1388	1213.21	58	3.45672
F56D12.1a.1	1933	1758.21	15.1801	0.624276
F56D12.1a.2	1847	1672.21	692.755	29.9545
F56D12.1a.3	1837	1662.21	0.000178078	7.74633e-06
F56D12.1b.1	1638	1463.21	0.536633	0.0265182
F56D12.1b.2	1552	1377.21	56.2945	2.95555
F56D12.1b.3	1542	1367.21	4.84458e-07	2.56208e-08
F56D12.1c.1	1919	1744.21	0.572638	0.0237386
F56D12.1c.2	1833	1658.21	27.6614	1.20617
F56D12.1c.3	1823	1648.21	5.66138e-06	2.4836e-07
F56D12.1d	1660	1485.21	0	0
F45H10.1a.1	1753	1578.21	289.543	13.2654
F45H10.1a.2	1567	1392.21	105.906	5.50033
F45H10.1b	860	685.26	34.3182	3.62112
F13D12.4a.1	1840	1665.21	0	0
F13D12.4a.2	1805	1630.21	2412.71	107.012
F13D12.4a.3	1789	1614.21	3187.46	142.777
F13D12.4b	1824	1649.21	26.8286	1.17624
F01F1.6.1	1973	1798.21	154.132	6.19764
F01F1.6.2	1833	1658.21	1445.87	63.0466
C54D1.4	1654	1479.21	204	9.97179
F42G9.5a	2156	1981.21	209.283	7.63794
F42G9.5b.1	1645	1470.21	25.7932	1.26852
F42G9.5b.2	1588	1413.21	269.924	13.8104
Y69F12A.2a.1	1654	1479.21	103.571	5.06269
Y69F12A.2a.2	1585	1410.21	511.341	26.218
Y69F12A.2b.1	1719	1544.21	3.77723	0.176864
Y69F12A.2b.2	1650	1475.21	16.3104	0.799437
C01F6.5	774	599.26	267	32.2158
F23B2.6	786	611.26	2163	255.861
M18.7a.1	1090	915.212	484.926	38.3113
M18.7a.2	956	781.212	1133.44	104.906
M18.7b	1139	964.212	243.637	18.2702
F36A4.7.1	6074	5899.21	1652.26	20.2515
F36A4.7.2	6024	5849.21	4346.74	53.7328
C05E11.4	1728	1553.21	4	0.18621
F49E11.3	1569	1394.21	2	0.103723
M195.3	2360	2185.21	15	0.496331
C05E11.5	1883	1708.21	381	16.1271
R13G10.2	2642	2467.21	269	7.8835
B0019.1	2369	2194.21	168	5.5361
F25C8.2a	1495	1320.21	64	3.50517
F25C8.2b	1431	1256.21	0	0
ZK973.6	25846	25671.2	25107	70.7166
C08B6.9	1242	1067.21	1258.91	85.2939
K06H7.6	2371	2196.21	856	28.1821
F15H10.3a.1	771	596.26	20.357	2.4686
F15H10.3a.2	775	600.26	57.5509	6.93244
F15H10.3a.3	765	590.26	0	0
F15H10.3b	697	522.297	35.0531	4.85268
