target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1686.74	3663.22	62.2938
Y110A7A.10.2	1787	1657.74	0.000585434	1.01296e-05
F27C8.1.1	1739	1609.74	233	4.15174
F27C8.1.2	1931	1801.74	0	0
F07C3.7	1738	1608.74	349	6.22257
F52H2.2a	1740	1610.74	606.925	10.8078
F52H2.2b	1738	1608.74	89.0753	1.58819
T13A10.10a	1796	1666.74	354.723	6.10452
T13A10.10b	1598	1468.74	19.2772	0.376468
C55C2.5a	1834	1704.74	112	1.88447
C55C2.5b	1606	1476.74	0	0
C55C2.5c	1671	1541.74	0	0
C55C2.5d	1618	1488.74	0	0
T11F9.4a	1750	1620.74	132.738	2.34916
T11F9.4b	1682	1552.74	209.262	3.86563
F54D12.3	1503	1373.74	36	0.751671
F28F9.4	1464	1334.74	15	0.322347
Y53H1C.1a	2080	1950.74	2557.28	37.6018
Y53H1C.1b	1958	1828.74	412.722	6.47345
C50F2.9	258	138.82	8	1.65299
C50F2.10	358	231.151	11	1.36498
F54B8.5	270	149.403	1	0.191986
Y38H6C.22	381	253.467	0	0
T22H6.5	606	476.744	57	3.42942
T22H6.7	702	572.744	164	8.21324
M79.1a	4081	3951.74	1149.03	8.34017
M79.1b	4012	3882.74	693.769	5.12515
M79.1c	3997	3867.74	20.1979	0.149789
C24F3.5a	4719	4589.74	107	0.668692
C24F3.5b	4730	4600.74	0	0
F12B6.1a	6670	6540.74	142.315	0.624101
F12B6.1b	6624	6494.74	273.685	1.2087
Y39D8C.1	5546	5416.74	1077	5.70306
Y53C10A.9	4805	4675.74	85	0.521434
AC3.3	1405	1275.74	141.851	3.18934
F19G12.7	1719	1589.74	0	0
Y5H2A.3	1060	930.744	7	0.215724
Y105C5A.4	1008	878.744	0	0
C03A7.7	1174	1044.74	86.8883	2.38552
C03A7.8	1317	1187.74	63.3265	1.5293
C03A7.14.1	1523	1393.74	179.085	3.6856
C03A7.14.2	1506	1376.74	10.52	0.219177
R09F10.2	1212	1082.74	55	1.45703
F35A5.3	1271	1141.74	35	0.879286
T01D1.6	1273	1143.74	97	2.43262
W09B12.1.1	2532	2402.74	0	0
W09B12.1.2	2468	2338.74	228	2.7963
Y44E3A.2	2208	2078.74	333	4.59488
Y48B6A.8	2202	2072.74	102	1.41151
Y48B6A.7	1930	1800.74	23	0.366359
C42D8.5a.1	3082	2952.74	503.376	4.88988
C42D8.5a.2	3105	2975.74	220.234	2.12285
C42D8.5b	1383	1253.74	16.3898	0.374969
ZK455.1.1	2831	2701.74	6022.95	63.9434
ZK455.1.2	3072	2942.74	61.0528	0.595092
F54H12.1a	2739	2609.74	30565.9	335.946
F54H12.1c.1	2562	2432.74	0	0
F54H12.1c.2	2500	2370.74	0	0
K11G12.2	1957	1827.74	14	0.219707
K11G12.7	1659	1529.74	15	0.281257
K03F8.2	1800	1670.74	21	0.360529
ZK973.5	1666	1536.74	5	0.0933253
T09A5.3	1692	1562.74	29	0.532281
ZC504.2.1	1770	1640.74	97.9996	1.71323
ZC504.2.2	1732	1602.74	0.00040449	7.23894e-06
C40C9.2	1909	1779.74	19	0.306215
R02E12.8	1680	1550.74	5	0.0924828
D2092.3	1386	1256.74	43	0.981415
R01E6.4a	2015	1885.74	29.6634	0.4512
R01E6.4b	1570	1440.74	36.3366	0.723417
T05C12.2	1595	1465.74	7	0.136984
F25G6.4	1506	1376.74	127	2.64595
F25G6.3	1822	1692.74	146	2.47396
F53E10.2a	2249	2119.74	0.00821156	0.000111115
F53E10.2b	1616	1486.74	17.6545	0.340604
F53E10.2c	2333	2203.74	0.0623797	0.000811919
F53E10.2d	438	309.684	0	0
F53E10.2e	1155	1025.74	0	0
F53E10.2f	1071	941.744	2.12136	0.064612
F53E10.2g	1532	1402.74	1.25712	0.0257058
F53E10.2h	287	164.719	0.896459	0.156105
F53E10.2i	176	72.828	0	0
F28F8.1	1617	1487.74	79	1.52311
C31H5.3a	1858	1728.74	2.58693e-05	4.29225e-07
C31H5.3b	1841	1711.74	28	0.469191
R06A4.10a	1702	1572.74	0	0
R06A4.10b	1693	1563.74	11.107	0.203734
R06A4.10c	1841	1711.74	27.893	0.467398
F27B3.2	1460	1330.74	14	0.301762
F48E3.7	1435	1305.74	19	0.417375
F59B1.9a	1692	1562.74	10.9438	0.200869
F59B1.9b	1659	1529.74	6.05616	0.113556
T04C12.6.1	1366	1236.74	92.8202	2.15275
T04C12.6.2	1277	1147.74	10486.4	262.067
T04C12.6.3	1264	1134.74	0	0
T04C12.6.4	1346	1216.74	22973.8	541.582
T04C12.5.1	1335	1205.74	38979.6	927.286
T04C12.5.2	1321	1191.74	0.0653758	0.00157349
T04C12.5.3	1335	1205.74	5954.52	141.652
T04C12.4.1	1558	1428.74	16889.6	339.076
T04C12.4.2	1553	1423.74	18.1973	0.36661
T04C12.4.3	1474	1344.74	24177.8	515.714
M03F4.2a	1669	1539.74	83.3742	1.55315
M03F4.2b.1	1596	1466.74	0	0
M03F4.2b.2	1606	1476.74	36814.7	715.067
M03F4.2b.3	1599	1469.74	0	0
M03F4.2b.4	1541	1411.74	4.1294e-05	8.39e-07
M03F4.2b.5	1603	1473.74	105.077	2.04511
M03F4.2b.6	1576	1446.74	0	0
M03F4.2c	1633	1503.74	28.12	0.53638
T25C8.2.1	1344	1214.74	4793.31	113.183
T25C8.2.2	1270	1140.74	10219.6	256.965
T25C8.2.3	1343	1213.74	3.46517e-05	8.18897e-07
F17C8.1	4203	4073.74	364	2.56294
C10F3.3	3343	3213.74	33	0.294533
C44F1.5.1	4149	4019.74	0	0
C44F1.5.2	4040	3910.74	276	2.02433
T01C2.1	3265	3135.74	360	3.29301
F39C12.2a	2213	2083.74	13.2358	0.182196
