target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1645.3	553.792	27.0778
Y110A7A.10.2	1787	1616.3	2.54039e-06	1.26442e-07
F27C8.1.1	1739	1568.3	37.8318	1.94061
F27C8.1.2	1931	1760.3	9.16824	0.418997
F07C3.7	1738	1567.3	94	4.82489
F52H2.2a	1740	1569.3	67.5466	3.46265
F52H2.2b	1738	1567.3	69.4534	3.56495
T13A10.10a	1796	1625.3	85.9697	4.25523
T13A10.10b	1598	1427.3	10.0303	0.565339
C55C2.5a	1834	1663.3	36.9621	1.78771
C55C2.5b	1606	1435.3	0	0
C55C2.5c	1671	1500.3	9.0379	0.484619
C55C2.5d	1618	1447.3	0	0
T11F9.4a	1750	1579.3	46.4501	2.3661
T11F9.4b	1682	1511.3	60.5499	3.2231
F54D12.3	1503	1332.3	10	0.603822
F28F9.4	1464	1293.3	19	1.18186
Y53H1C.1a	2080	1909.3	471.216	19.8544
Y53H1C.1b	1958	1787.3	68.7841	3.09601
C50F2.9	258	105.441	3	2.28888
C50F2.10	358	194.052	4	1.65827
F54B8.5	270	115.381	0	0
Y38H6C.22	381	215.641	1	0.373062
T22H6.5	606	435.711	21	3.87733
T22H6.7	702	531.373	25	3.78488
M79.1a	4081	3910.3	117.979	2.42721
M79.1b	4012	3841.3	134.021	2.80676
M79.1c	3997	3826.3	0	0
C24F3.5a	4719	4548.3	38	0.672119
C24F3.5b	4730	4559.3	0	0
F12B6.1a	6670	6499.3	0.0373262	0.000462018
F12B6.1b	6624	6453.3	205.963	2.56755
Y39D8C.1	5546	5375.3	603	9.02457
Y53C10A.9	4805	4634.3	29	0.503414
AC3.3	1405	1234.3	76.3924	4.97898
F19G12.7	1719	1548.3	2	0.103917
Y5H2A.3	1060	889.303	3	0.271384
Y105C5A.4	1008	837.303	0	0
C03A7.7	1174	1003.3	24.4685	1.96195
C03A7.8	1317	1146.3	43.0794	3.02331
C03A7.14.1	1523	1352.3	49.7352	2.95871
C03A7.14.2	1506	1335.3	0	0
R09F10.2	1212	1041.3	7.29997	0.56397
F35A5.3	1271	1100.3	23	1.68162
T01D1.6	1273	1102.3	28	2.04347
W09B12.1.1	2532	2361.3	36.8834	1.25658
W09B12.1.2	2468	2297.3	8.11663	0.28423
Y44E3A.2	2208	2037.3	86	3.3959
Y48B6A.8	2202	2031.3	11	0.435642
Y48B6A.7	1930	1759.3	10	0.457269
C42D8.5a.1	3082	2911.3	202.985	5.60905
C42D8.5a.2	3105	2934.3	0.0145203	0.000398093
C42D8.5b	1383	1212.3	0	0
ZK455.1.1	2831	2660.3	2233	67.5258
ZK455.1.2	3072	2901.3	0	0
F54H12.1a	2739	2568.3	6757.73	211.674
F54H12.1c.1	2562	2391.3	17.2726	0.581078
F54H12.1c.2	2500	2329.3	0	0
K11G12.2	1957	1786.3	4	0.180143
K11G12.7	1659	1488.3	4	0.216212
K03F8.2	1800	1629.3	5	0.246877
ZK973.5	1666	1495.3	1	0.0538001
T09A5.3	1692	1521.3	6	0.317284
ZC504.2.1	1770	1599.3	9	0.452714
ZC504.2.2	1732	1561.3	0	0
C40C9.2	1909	1738.3	9	0.416514
R02E12.8	1680	1509.3	3	0.159903
D2092.3	1386	1215.3	12	0.794344
R01E6.4a	2015	1844.3	8.289	0.361561
R01E6.4b	1570	1399.3	6.711	0.385822
T05C12.2	1595	1424.3	0	0
F25G6.4	1506	1335.3	28	1.6869
F25G6.3	1822	1651.3	27	1.31537
F53E10.2a	2249	2078.3	8.01135	0.310105
F53E10.2b	1616	1445.3	0	0
F53E10.2c	2333	2162.3	0	0
F53E10.2d	438	270.393	0	0
F53E10.2e	1155	984.303	0	0
F53E10.2f	1071	900.303	0	0
F53E10.2g	1532	1361.3	1.38436	0.0818102
F53E10.2h	287	129.698	1.6489	1.02275
F53E10.2i	176	46.9892	0	0
F28F8.1	1617	1446.3	25	1.39057
C31H5.3a	1858	1687.3	1.38857e-05	6.62042e-07
C31H5.3b	1841	1670.3	2.99999	0.144489
R06A4.10a	1702	1531.3	2.48895	0.130758
R06A4.10b	1693	1522.3	2.51105	0.132699
R06A4.10c	1841	1670.3	0	0
F27B3.2	1460	1289.3	2	0.124792
F48E3.7	1435	1264.3	3	0.19089
F59B1.9a	1692	1521.3	0	0
F59B1.9b	1659	1488.3	1	0.0540531
T04C12.6.1	1366	1195.3	66.1655	4.45313
T04C12.6.2	1277	1106.3	5002.83	363.793
T04C12.6.3	1264	1093.3	0	0
T04C12.6.4	1346	1175.3	8692.53	594.988
T04C12.5.1	1335	1164.3	10996.4	759.798
T04C12.5.2	1321	1150.3	0.000158413	1.10788e-05
T04C12.5.3	1335	1164.3	313.066	21.6313
T04C12.4.1	1558	1387.3	7910.93	458.742
T04C12.4.2	1553	1382.3	0	0
T04C12.4.3	1474	1303.3	1623.08	100.186
M03F4.2a	1669	1498.3	140.742	7.55679
M03F4.2b.1	1596	1425.3	0	0
M03F4.2b.2	1606	1435.3	11484.6	643.699
M03F4.2b.3	1599	1428.3	0	0
M03F4.2b.4	1541	1370.3	0	0
M03F4.2b.5	1603	1432.3	0	0
M03F4.2b.6	1576	1405.3	0	0
M03F4.2c	1633	1462.3	7.53129	0.414328
T25C8.2.1	1344	1173.3	1189.16	81.5345
