target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1693.84	2452.93	54.0403
Y110A7A.10.2	1787	1664.84	306.339	6.8665
F27C8.1.1	1739	1616.84	240	5.53922
F27C8.1.2	1931	1808.84	0	0
F07C3.7	1738	1615.84	644	14.8728
F52H2.2a	1740	1617.84	346.906	8.00167
F52H2.2b	1738	1615.84	31.0943	0.718103
T13A10.10a	1796	1673.84	438.338	9.77237
T13A10.10b	1598	1475.84	29.6619	0.750005
C55C2.5a	1834	1711.84	112.738	2.45759
C55C2.5b	1606	1483.84	0	0
C55C2.5c	1671	1548.84	3.2625	0.0786046
C55C2.5d	1618	1495.84	0	0
T11F9.4a	1750	1627.84	220.518	5.05518
T11F9.4b	1682	1559.84	354.482	8.48045
F54D12.3	1503	1380.84	36	0.97289
F28F9.4	1464	1341.84	39	1.0846
Y53H1C.1a	2080	1957.84	1365.37	26.0242
Y53H1C.1b	1958	1835.84	216.633	4.40346
C50F2.9	258	145.061	13	3.34424
C50F2.10	358	238.236	15	2.34958
F54B8.5	270	155.765	0	0
Y38H6C.22	381	260.487	23	3.29494
T22H6.5	606	483.947	141	10.8724
T22H6.7	702	579.842	361	23.2329
M79.1a	4081	3958.84	577.257	5.44134
M79.1b	4012	3889.84	303.743	2.91394
M79.1c	3997	3874.84	0	0
C24F3.5a	4719	4596.84	267	2.16749
C24F3.5b	4730	4607.84	0	0
F12B6.1a	6670	6547.84	0.0275427	0.000156969
F12B6.1b	6624	6501.84	348.972	2.0029
Y39D8C.1	5546	5423.84	859	5.91005
Y53C10A.9	4805	4682.84	163	1.29892
AC3.3	1405	1282.84	155.771	4.53125
F19G12.7	1719	1596.84	0	0
Y5H2A.3	1060	937.842	0	0
Y105C5A.4	1008	885.842	0	0
C03A7.7	1174	1051.84	88.1748	3.12823
C03A7.8	1317	1194.84	93.4	2.91703
C03A7.14.1	1523	1400.84	123.847	3.29914
C03A7.14.2	1506	1383.84	27.1935	0.733303
R09F10.2	1212	1089.84	22.7546	0.779131
F35A5.3	1271	1148.84	42	1.36425
T01D1.6	1273	1150.84	90	2.91831
W09B12.1.1	2532	2409.84	37.6538	0.583076
W09B12.1.2	2468	2345.84	216.346	3.44156
Y44E3A.2	2208	2085.84	276	4.93779
Y48B6A.8	2202	2079.84	64	1.1483
Y48B6A.7	1930	1807.84	11	0.227058
C42D8.5a.1	3082	2959.84	318.93	4.02099
C42D8.5a.2	3105	2982.84	430.351	5.3839
C42D8.5b	1383	1260.84	36.719	1.08676
ZK455.1.1	2831	2708.84	5021.52	69.1762
ZK455.1.2	3072	2949.84	24.48	0.309684
F54H12.1a	2739	2616.84	14559.9	207.629
F54H12.1c.1	2562	2439.84	327.612	5.01076
F54H12.1c.2	2500	2377.84	0.000551607	8.65669e-06
K11G12.2	1957	1834.84	32	0.650813
K11G12.7	1659	1536.84	29	0.704164
K03F8.2	1800	1677.84	34	0.756194
ZK973.5	1666	1543.84	2	0.0483429
T09A5.3	1692	1569.84	32.0947	0.762926
ZC504.2.1	1770	1647.84	160	3.62333
ZC504.2.2	1732	1609.84	0.000419227	9.71788e-06
C40C9.2	1909	1786.84	7	0.14619
R02E12.8	1680	1557.84	7	0.167679
D2092.3	1386	1263.84	69	2.03733
R01E6.4a	2015	1892.84	46.7894	0.92244
R01E6.4b	1570	1447.84	26.2106	0.675557
T05C12.2	1595	1472.84	13	0.329376
F25G6.4	1506	1383.84	141	3.80222
F25G6.3	1822	1699.84	207.062	4.54567
F53E10.2a	2249	2126.84	2.6888	0.0471769
F53E10.2b	1616	1493.84	0	0
F53E10.2c	2333	2210.84	0	0
F53E10.2d	438	316.72	0	0
F53E10.2e	1155	1032.84	0	0
