target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1681.04	3155.25	58.0552
Y110A7A.10.2	1787	1652.04	1.13306	0.0212138
F27C8.1.1	1739	1604.04	221.582	4.27273
F27C8.1.2	1931	1796.04	37.4176	0.644385
F07C3.7	1738	1603.04	386	7.44781
F52H2.2a	1740	1605.04	330.947	6.37761
F52H2.2b	1738	1603.04	137.053	2.64442
T13A10.10a	1796	1661.04	489.771	9.12008
T13A10.10b	1598	1463.04	34.229	0.723641
C55C2.5a	1834	1699.04	93.1879	1.69645
C55C2.5b	1606	1471.04	0	0
C55C2.5c	1671	1536.04	2.80932	0.0565697
C55C2.5d	1618	1483.04	3.00279	0.0626264
T11F9.4a	1750	1615.04	230.748	4.41917
T11F9.4b	1682	1547.04	290.252	5.80309
F54D12.3	1503	1368.04	51	1.15307
F28F9.4	1464	1329.04	21	0.488727
Y53H1C.1a	2080	1945.04	2054.43	32.6699
Y53H1C.1b	1958	1823.04	359.575	6.10069
C50F2.9	258	134.39	6	1.38093
C50F2.10	358	226.138	12	1.64133
F54B8.5	270	145.021	2	0.426566
Y38H6C.22	381	248.117	4	0.498644
T22H6.5	606	471.191	92	6.03918
T22H6.7	702	567.044	238	12.9821
M79.1a	4081	3946.04	852.967	6.68585
M79.1b	4012	3877.04	444.033	3.54243
M79.1c	3997	3862.04	0	0
C24F3.5a	4719	4584.04	135	0.910902
C24F3.5b	4730	4595.04	0	0
F12B6.1a	6670	6535.04	0.0264309	0.000125098
F12B6.1b	6624	6489.04	373.974	1.78257
Y39D8C.1	5546	5411.04	886	5.06453
Y53C10A.9	4805	4670.04	110	0.728548
AC3.3	1405	1270.04	244.344	5.95071
F19G12.7	1719	1584.04	3	0.0585788
Y5H2A.3	1060	925.044	2.78664	0.0931763
Y105C5A.4	1008	873.044	0	0
C03A7.7	1174	1039.04	186.229	5.54369
C03A7.8	1317	1182.04	176.011	4.60566
C03A7.14.1	1523	1388.04	216.524	4.8249
C03A7.14.2	1506	1371.04	93.2505	2.10371
R09F10.2	1212	1077.04	64.9689	1.86577
F35A5.3	1271	1136.04	88	2.39593
T01D1.6	1273	1138.04	169	4.59319
W09B12.1.1	2532	2397.04	74.9076	0.966578
W09B12.1.2	2468	2333.04	171.092	2.26827
Y44E3A.2	2208	2073.04	264	3.93896
Y48B6A.8	2202	2067.04	42	0.628472
Y48B6A.7	1930	1795.04	18	0.310159
C42D8.5a.1	3082	2947.04	598.566	6.2822
C42D8.5a.2	3105	2970.04	4.38672	0.045684
C42D8.5b	1383	1248.04	103.252	2.55892
ZK455.1.1	2831	2696.04	4884.25	56.0348
ZK455.1.2	3072	2937.04	48.7476	0.513369
F54H12.1a	2739	2604.04	19526.1	231.929
F54H12.1c.1	2562	2427.04	158.269	2.01699
F54H12.1c.2	2500	2365.04	10.3415	0.135248
K11G12.2	1957	1822.04	20	0.339514
K11G12.7	1659	1524.04	15	0.304425
K03F8.2	1800	1665.04	26	0.482986
ZK973.5	1666	1531.04	3	0.0606066
T09A5.3	1692	1557.04	32.0801	0.637267
ZC504.2.1	1770	1635.04	103	1.94847
ZC504.2.2	1732	1597.04	0	0
C40C9.2	1909	1774.04	21	0.366135
R02E12.8	1680	1545.04	3	0.0600575
D2092.3	1386	1251.04	50	1.23619
R01E6.4a	2015	1880.04	16.8993	0.278027
R01E6.4b	1570	1435.04	32.1007	0.691889
T05C12.2	1595	1460.04	6	0.127108
F25G6.4	1506	1371.04	114	2.57182
F25G6.3	1822	1687.04	199.136	3.65098
F53E10.2a	2249	2114.04	0	0
F53E10.2b	1616	1481.04	26.4234	0.551832
F53E10.2c	2333	2198.04	0	0
F53E10.2d	438	303.983	0.576622	0.0586716
F53E10.2e	1155	1020.04	0	0
F53E10.2f	1071	936.044	0	0
F53E10.2g	1532	1397.04	3.40608e-07	7.54104e-09
F53E10.2h	287	160.105	0	0
F53E10.2i	176	69.5248	0	0
F28F8.1	1617	1482.04	72	1.50265
C31H5.3a	1858	1723.04	3.73021e-05	6.69613e-07
C31H5.3b	1841	1706.04	25	0.453248
R06A4.10a	1702	1567.04	0	0
R06A4.10b	1693	1558.04	0	0
R06A4.10c	1841	1706.04	24.0159	0.435408
F27B3.2	1460	1325.04	22	0.513545
F48E3.7	1435	1300.04	14	0.333086
F59B1.9a	1692	1557.04	15	0.297973
F59B1.9b	1659	1524.04	0	0
T04C12.6.1	1366	1231.04	26.6826	0.670411
T04C12.6.2	1277	1142.04	10118.4	274.041
T04C12.6.3	1264	1129.04	0	0
T04C12.6.4	1346	1211.04	30216.9	771.751
T04C12.5.1	1335	1200.04	29334	756.067
T04C12.5.2	1321	1186.04	0.524962	0.0136903
T04C12.5.3	1335	1200.04	6488.87	167.247
T04C12.4.1	1558	1423.04	14908	324.031
T04C12.4.2	1553	1418.04	53.9798	1.17741
T04C12.4.3	1474	1339.04	29843.4	689.35
M03F4.2a	1669	1534.04	119.786	2.41521
M03F4.2b.1	1596	1461.04	0	0
