target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1645.68	616.353	27.6014
Y110A7A.10.2	1787	1616.68	0	0
F27C8.1.1	1739	1568.68	65	3.0537
F27C8.1.2	1931	1760.68	0	0
F07C3.7	1738	1567.68	90	4.23089
F52H2.2a	1740	1569.68	184.108	8.64386
F52H2.2b	1738	1567.68	31.8924	1.49926
T13A10.10a	1796	1625.68	79.6238	3.60956
T13A10.10b	1598	1427.68	26.3762	1.36153
C55C2.5a	1834	1663.68	68.6478	3.04091
C55C2.5b	1606	1435.68	0	0
C55C2.5c	1671	1500.68	17.3522	0.852143
C55C2.5d	1618	1447.68	0	0
T11F9.4a	1750	1579.68	69.6917	3.25132
T11F9.4b	1682	1511.68	89.3083	4.3539
F54D12.3	1503	1332.68	4	0.221198
F28F9.4	1464	1293.68	7	0.398766
Y53H1C.1a	2080	1909.68	482.306	18.6127
Y53H1C.1b	1958	1787.68	87.6944	3.61517
C50F2.9	258	106.664	4	2.76368
C50F2.10	358	194.569	4	1.51507
F54B8.5	270	116.437	0	0
Y38H6C.22	381	216.13	0	0
T22H6.5	606	436.114	34	5.74547
T22H6.7	702	531.731	53	7.34566
M79.1a	4081	3910.68	225.586	4.25116
M79.1b	4012	3841.68	241.318	4.62931
M79.1c	3997	3826.68	13.0954	0.252198
C24F3.5a	4719	4548.68	52	0.84249
C24F3.5b	4730	4559.68	0	0
F12B6.1a	6670	6499.68	278.575	3.15861
F12B6.1b	6624	6453.68	120.425	1.37517
Y39D8C.1	5546	5375.68	1057	14.4907
Y53C10A.9	4805	4634.68	43	0.683747
AC3.3	1405	1234.68	115.045	6.86691
F19G12.7	1719	1548.68	1	0.0475867
Y5H2A.3	1060	889.679	4	0.33134
Y105C5A.4	1008	837.679	0	0
C03A7.7	1174	1003.68	65.7997	4.83143
C03A7.8	1317	1146.68	90.4226	5.81142
C03A7.14.1	1523	1352.68	120.576	6.5692
C03A7.14.2	1506	1335.68	47.9186	2.64392
R09F10.2	1212	1041.68	0	0
