target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1677.69	2352.2	52.4922
Y110A7A.10.2	1787	1648.69	102.751	2.33335
F27C8.1.1	1739	1600.69	180.326	4.21778
F27C8.1.2	1931	1792.69	18.6738	0.389996
F07C3.7	1738	1599.69	282	6.60003
F52H2.2a	1740	1601.69	348.859	8.15463
F52H2.2b	1738	1599.69	47.141	1.1033
T13A10.10a	1796	1657.69	373.669	8.43949
T13A10.10b	1598	1459.69	12.3309	0.316278
C55C2.5a	1834	1695.69	87.1785	1.92484
C55C2.5b	1606	1467.69	0	0
C55C2.5c	1671	1532.69	3.82148	0.0933491
C55C2.5d	1618	1479.69	0	0
T11F9.4a	1750	1611.69	142.208	3.3035
T11F9.4b	1682	1543.69	161.792	3.92401
F54D12.3	1503	1364.69	25	0.685865
F28F9.4	1464	1325.69	12	0.3389
Y53H1C.1a	2080	1941.69	1497.42	28.8733
Y53H1C.1b	1958	1819.69	336.577	6.92498
C50F2.9	258	132.517	8	2.26021
C50F2.10	358	223.12	14	2.3492
F54B8.5	270	142.747	1	0.26228
Y38H6C.22	381	245.131	3	0.458199
T22H6.5	606	467.736	47	3.76208
T22H6.7	702	563.686	138	9.16586
M79.1a	4081	3942.69	433.356	4.11514
M79.1b	4012	3873.69	554.874	5.36292
M79.1c	3997	3858.69	35.7698	0.347063
C24F3.5a	4719	4580.69	163.999	1.34042
C24F3.5b	4730	4591.69	0.000947757	7.72781e-06
F12B6.1a	6670	6531.69	142.063	0.814303
F12B6.1b	6624	6485.69	163.937	0.946353
Y39D8C.1	5546	5407.69	697	4.82562
Y53C10A.9	4805	4666.69	94	0.754138
AC3.3	1405	1266.69	123.894	3.66194
F19G12.7	1719	1580.69	1	0.0236857
Y5H2A.3	1060	921.686	10.2608	0.416803
Y105C5A.4	1008	869.686	0	0
C03A7.7	1174	1035.69	83.5625	3.02075
C03A7.8	1317	1178.69	118.464	3.76289
C03A7.14.1	1523	1384.69	100.423	2.71526
C03A7.14.2	1506	1367.69	58.6305	1.60498
R09F10.2	1212	1073.69	29.8722	1.04165
F35A5.3	1271	1132.69	49	1.61964
T01D1.6	1273	1134.69	89	2.93661
W09B12.1.1	2532	2393.69	0	0
W09B12.1.2	2468	2329.69	173	2.78023
Y44E3A.2	2208	2069.69	242	4.37766
Y48B6A.8	2202	2063.69	59	1.07038
Y48B6A.7	1930	1791.69	9	0.188067
C42D8.5a.1	3082	2943.69	351.015	4.46443
C42D8.5a.2	3105	2966.69	133.846	1.68914
C42D8.5b	1383	1244.69	53.1388	1.59839
ZK455.1.1	2831	2692.69	4857.48	67.5393
ZK455.1.2	3072	2933.69	36.5189	0.466053
F54H12.1a	2739	2600.69	21857.8	314.666
F54H12.1c.1	2562	2423.69	0	0
F54H12.1c.2	2500	2361.69	0	0
K11G12.2	1957	1818.69	27	0.555824
K11G12.7	1659	1520.69	10	0.246202
K03F8.2	1800	1661.69	16	0.360498
ZK973.5	1666	1527.69	0	0
T09A5.3	1692	1553.69	15.084	0.363484
ZC504.2.1	1770	1631.69	85.3277	1.95787
ZC504.2.2	1732	1593.69	7.67232	0.180242
C40C9.2	1909	1770.69	12	0.25373
R02E12.8	1680	1541.69	5	0.121424
D2092.3	1386	1247.69	37	1.11027
R01E6.4a	2015	1876.69	29.5209	0.588938
R01E6.4b	1570	1431.69	9.4791	0.247885
T05C12.2	1595	1456.69	6	0.154211
F25G6.4	1506	1367.69	91	2.49107
F25G6.3	1822	1683.69	126.011	2.80208
F53E10.2a	2249	2110.69	4.29647	0.0762114
F53E10.2b	1616	1477.69	0	0
F53E10.2c	2333	2194.69	0	0
F53E10.2d	438	300.995	2.56998	0.31967
F53E10.2e	1155	1016.69	2.48232	0.091412
F53E10.2f	1071	932.686	7.6228e-05	3.05992e-06
F53E10.2g	1532	1393.69	14.821	0.398148
F53E10.2h	287	157.733	1.84926	0.438943
F53E10.2i	176	68.3531	0	0
F28F8.1	1617	1478.69	67	1.69641
C31H5.3a	1858	1719.69	10.4551	0.227619
C31H5.3b	1841	1702.69	11.5449	0.253856
R06A4.10a	1702	1563.69	5.75669	0.137834
R06A4.10b	1693	1554.69	0	0
R06A4.10c	1841	1702.69	12.2495	0.26935
F27B3.2	1460	1321.69	12	0.339926
F48E3.7	1435	1296.69	12	0.34648
F59B1.9a	1692	1553.69	0	0
F59B1.9b	1659	1520.69	6	0.147721
T04C12.6.1	1366	1227.69	0	0
T04C12.6.2	1277	1138.69	8309.28	273.206
T04C12.6.3	1264	1125.69	0	0
T04C12.6.4	1346	1207.69	23199.2	719.201
T04C12.5.1	1335	1196.69	26925.6	842.398
T04C12.5.2	1321	1182.69	1.22928	0.0389147
T04C12.5.3	1335	1196.69	4571.23	143.016
T04C12.4.1	1558	1419.69	11762.9	310.209
T04C12.4.2	1553	1414.69	18.1007	0.479034
T04C12.4.3	1474	1335.69	23639.5	662.622
M03F4.2a	1669	1530.69	100.494	2.45803
M03F4.2b.1	1596	1457.69	0	0
M03F4.2b.2	1606	1467.69	36757.9	937.668
M03F4.2b.3	1599	1460.69	20.5688	0.527209
M03F4.2b.4	1541	1402.69	4.38107e-05	1.16937e-06
M03F4.2b.5	1603	1464.69	101.436	2.59285
M03F4.2b.6	1576	1437.69	0	0
M03F4.2c	1633	1494.69	41.7982	1.04698
T25C8.2.1	1344	1205.69	5507.05	171.008
T25C8.2.2	1270	1131.69	9267.63	306.601
T25C8.2.3	1343	1204.69	0.00040477	1.25796e-05
F17C8.1	4203	4064.69	289	2.66196
C10F3.3	3343	3204.69	19	0.221973
C44F1.5.1	4149	4010.69	36.7953	0.343483
C44F1.5.2	4040	3901.69	185.205	1.77718
T01C2.1	3265	3126.69	304	3.64016
F39C12.2a	2213	2074.69	4.52584	0.081673
F39C12.2b	2533	2394.69	284.169	4.44283
F39C12.2c	2443	2304.69	0	0
F39C12.2d	2049	1910.69	14.7739	0.289493
F39C12.2e	2611	2472.69	21.5311	0.326008
F57F5.4a.1	2032	1893.69	18.8151	0.371988
F57F5.4a.2	1990	1851.69	126.293	2.55354
F57F5.4a.3	1974	1835.69	645.651	13.1683
F57F5.4b	1052	913.686	19.2414	0.788445
C04A11.4	3207	3068.69	675	8.23536
ZK154.7	2340	2201.69	623	10.5941
H15N14.1c	3023	2884.69	2345.4	30.4404
H15N14.1d	2851	2712.69	31.989	0.441502
H15N14.1e	3123	2984.69	1766.43	22.1579
H15N14.1f	3119	2980.69	42.9285	0.539214
H15N14.1g	370	234.636	74.2385	11.8458
T20H4.4.1	1622	1483.69	3559.26	89.8151
T20H4.4.2	1697	1558.69	311.737	7.48792
Y50D7A.7	1882	1743.69	3214	69.0095
C02B4.1	4802	4663.69	131	1.05166
F08C6.1a.1	3905	3766.69	308.745	3.06882
F08C6.1a.2	3783	3644.69	547.097	5.62
F08C6.1b.1	2883	2744.69	0	0
F08C6.1b.2	1133	994.686	259.158	9.7546
F08C6.1c.1	3149	3010.69	0	0
F08C6.1c.2	3027	2888.69	0	0
D2030.10a.1	3225	3086.69	288.358	3.49761
D2030.10a.2	3268	3129.69	57.4149	0.686839
D2030.10b	3239	3100.69	15.227	0.18386
T14B1.2	1220	1081.69	21	0.726858
C02H7.3a	4574	4435.69	109.861	0.927283
C02H7.3b	4428	4289.69	133.139	1.16202
F32A7.6	1796	1657.69	380.455	8.59276
Y87G2A.4	961	822.686	147	6.68982
B0334.8a	3942	3803.69	3380.3	33.2723
B0334.8b	3978	3839.69	254.676	2.48327
F32A6.4a.1	2176	2037.69	261.242	4.79995
F32A6.4a.2	2137	1998.69	180.204	3.37561
F32A6.4b	1941	1802.69	8.75682	0.181869
F32A6.4c	1787	1648.69	0	0
F32A6.4d	1493	1354.69	27.433	0.75817
F32A6.4e	1921	1782.69	0	0
F32A6.4f	1107	968.686	0	0
F32A6.4g.1	1107	968.686	0	0
F32A6.4g.2	879	740.686	0	0
F32A6.4g.3	733	594.686	158.364	9.97012
Y62E10A.5a.1	689	550.686	421.56	28.6607
Y62E10A.5a.2	595	456.736	196.944	16.1439
Y62E10A.5b	574	435.781	8.41665	0.723107
F09E5.13	1069	930.686	1433.39	57.6625
C25A1.11a	1606	1467.69	562.451	14.3477
C25A1.11b	1600	1461.69	0	0
C41G7.5a	1841	1702.69	14	0.30784
C41G7.5b	1803	1664.69	0	0
F58E10.4	1059	920.686	1231	50.0585
K07C11.2.1	1421	1282.69	740.011	21.5998
K07C11.2.2	1343	1204.69	5971.99	185.599
B0207.4	1121	982.686	2742	104.468
C25A11.4a	4732	4593.69	0	0
C25A11.4b	5172	5033.69	965.502	7.18122
C25A11.4c.1	5187	5048.69	0	0
C25A11.4c.2	5141	5002.69	443.609	3.31992
C25A11.4d	6017	5878.69	150.879	0.960906
C25A11.4e	3987	3848.69	5.1437	0.0500374
C25A11.4f.1	6140	6001.69	0	0
C25A11.4f.2	6044	5905.69	0	0
C25A11.4g	5013	4874.69	94.5039	0.725829
C25A11.4h	4437	4298.69	7.58479e-05	6.60601e-07
C25A11.4i	4311	4172.69	783.743	7.03217
C25A11.4j	4289	4150.69	0	0
C25A11.4k	5527	5388.69	0	0
C25A11.4l	4999	4860.69	70.6192	0.543947
C25A11.4m	4867	4728.69	0	0
D1022.7a.1	4299	4160.69	858.838	7.72819
D1022.7a.2	4264	4125.69	133.736	1.21362
D1022.7b.1	4311	4172.69	3490.15	31.3156
D1022.7b.2	4279	4140.69	8932.68	80.7683
D1022.7c.1	1991	1852.69	43.2084	0.873168
D1022.7c.2	1953	1814.69	1.3868	0.0286118
C12D8.10a.1	2069	1930.69	4245	82.3186
C12D8.10a.2	2119	1980.69	2205.7	41.6928
C12D8.10b.1	2084	1945.69	125.228	2.40968
