target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1678.53	2092.64	61.7749
Y110A7A.10.2	1787	1649.53	0.106439	0.00319732
F27C8.1.1	1739	1601.53	120.659	3.7331
F27C8.1.2	1931	1793.53	9.34129	0.258074
F07C3.7	1738	1600.53	179	5.5416
F52H2.2a	1740	1602.53	382.374	11.823
F52H2.2b	1738	1600.53	24.6264	0.7624
T13A10.10a	1796	1658.53	245.87	7.34562
T13A10.10b	1598	1460.53	14.1297	0.479366
C55C2.5a	1834	1696.53	39.907	1.16556
C55C2.5b	1606	1468.53	0	0
C55C2.5c	1671	1533.53	5.09295	0.16456
C55C2.5d	1618	1480.53	0	0
T11F9.4a	1750	1612.53	41.7272	1.2822
T11F9.4b	1682	1544.53	166.273	5.33422
F54D12.3	1503	1365.53	26	0.943448
F28F9.4	1464	1326.53	15	0.560299
Y53H1C.1a	2080	1942.53	1498.93	38.2349
Y53H1C.1b	1958	1820.53	212.069	5.77199
C50F2.9	258	132.307	7	2.62157
C50F2.10	358	223.622	0	0
F54B8.5	270	142.827	0	0
Y38H6C.22	381	245.803	1	0.201585
T22H6.5	606	468.684	44	4.65177
T22H6.7	702	564.528	97	8.51396
M79.1a	4081	3943.53	500.531	6.28914
M79.1b	4012	3874.53	552.469	7.06536
M79.1c	3997	3859.53	0	0
C24F3.5a	4719	4581.53	41	0.443423
C24F3.5b	4730	4592.53	0	0
F12B6.1a	6670	6532.53	203.998	1.54735
F12B6.1b	6624	6486.53	0.0020975	1.60227e-05
Y39D8C.1	5546	5408.53	521	4.77314
Y53C10A.9	4805	4667.53	52	0.552029
AC3.3	1405	1267.53	56.8456	2.22221
F19G12.7	1719	1581.53	0	0
Y5H2A.3	1060	922.528	1	0.0537113
Y105C5A.4	1008	870.528	0	0
C03A7.7	1174	1036.53	43.7422	2.09105
C03A7.8	1317	1179.53	29.5635	1.24192
C03A7.14.1	1523	1385.53	46.6349	1.66779
C03A7.14.2	1506	1368.53	13.438	0.486547
R09F10.2	1212	1074.53	21	0.968382
F35A5.3	1271	1133.53	27	1.18026
T01D1.6	1273	1135.53	39	1.70181
W09B12.1.1	2532	2394.53	37.4145	0.774221
W09B12.1.2	2468	2330.53	89.5855	1.90471
Y44E3A.2	2208	2070.53	191	4.57085
Y48B6A.8	2202	2064.53	40	0.960029
Y48B6A.7	1930	1792.53	5	0.138213
C42D8.5a.1	3082	2944.53	169.96	2.86006
C42D8.5a.2	3105	2967.53	18.5104	0.309077
C42D8.5b	1383	1245.53	52.5299	2.08977
ZK455.1.1	2831	2693.53	3471.82	63.8677
ZK455.1.2	3072	2934.53	12.1765	0.205602
F54H12.1a	2739	2601.53	16708.9	318.248
F54H12.1c.1	2562	2424.53	0	0
F54H12.1c.2	2500	2362.53	1.32357e-08	2.77597e-10
K11G12.2	1957	1819.53	4	0.10893
K11G12.7	1659	1521.53	4	0.130264
K03F8.2	1800	1662.53	5	0.149021
ZK973.5	1666	1528.53	2	0.0648338
T09A5.3	1692	1554.53	9.04411	0.288279
ZC504.2.1	1770	1632.53	45	1.36583
ZC504.2.2	1732	1594.53	0	0
C40C9.2	1909	1771.53	5	0.139852
R02E12.8	1680	1542.53	2	0.0642454
D2092.3	1386	1248.53	33	1.30967
R01E6.4a	2015	1877.53	8.43833	0.222697
R01E6.4b	1570	1432.53	12.5617	0.4345
T05C12.2	1595	1457.53	0	0
F25G6.4	1506	1368.53	63	2.28104
F25G6.3	1822	1684.53	114	3.3533
F53E10.2a	2249	2111.53	0.0712963	0.00167307
F53E10.2b	1616	1478.53	0	0
F53E10.2c	2333	2195.53	0	0
F53E10.2d	438	301.432	0	0
F53E10.2e	1155	1017.53	0	0
F53E10.2f	1071	933.528	1.14886	0.0609797
F53E10.2g	1532	1394.53	17.7798	0.631751
F53E10.2h	287	157.882	0	0
F53E10.2i	176	68.5227	0	0
F28F8.1	1617	1479.53	39	1.30613
C31H5.3a	1858	1720.53	19	0.547189
C31H5.3b	1841	1703.53	0	0
R06A4.10a	1702	1564.53	0	0
R06A4.10b	1693	1555.53	0	0
R06A4.10c	1841	1703.53	12.0142	0.349453
F27B3.2	1460	1322.53	12	0.449595
F48E3.7	1435	1297.53	9	0.343693
F59B1.9a	1692	1554.53	0	0
