target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1680	756.445	29.1265
Y110A7A.10.2	1787	1651	463.294	18.1522
F27C8.1.1	1739	1603	134	5.40744
F27C8.1.2	1931	1795	0	0
F07C3.7	1738	1602	331	13.3655
F52H2.2a	1740	1604	238.869	9.63333
F52H2.2b	1738	1602	20.1308	0.812865
T13A10.10a	1796	1660	210	8.18336
T13A10.10b	1598	1462	0	0
C55C2.5a	1834	1698	57.9198	2.20653
C55C2.5b	1606	1470	0	0
C55C2.5c	1671	1535	8.08022	0.340514
C55C2.5d	1618	1482	0	0
T11F9.4a	1750	1614	76.9197	3.08287
T11F9.4b	1682	1546	194.08	8.12068
F54D12.3	1503	1367	30	1.41962
F28F9.4	1464	1328	30	1.46132
Y53H1C.1a	2080	1944	873.509	29.0664
Y53H1C.1b	1958	1822	97.4908	3.46127
C50F2.9	258	135.205	3	1.43532
C50F2.10	358	226.389	12	3.42882
F54B8.5	270	145.437	1	0.44478
Y38H6C.22	381	248.148	11	2.86749
T22H6.5	606	470.227	91	12.5185
T22H6.7	702	566.079	128	14.6269
M79.1a	4081	3945	444.174	7.28327
M79.1b	4012	3876	343.826	5.73819
M79.1c	3997	3861	0	0
C24F3.5a	4719	4583	169	2.38538
C24F3.5b	4730	4594	0	0
F12B6.1a	6670	6534	0.0408149	0.000404072
F12B6.1b	6624	6488	414.959	4.13728
Y39D8C.1	5546	5410	892	10.6657
Y53C10A.9	4805	4669	159	2.20289
AC3.3	1405	1269	222.004	11.3167
F19G12.7	1719	1583	0	0
Y5H2A.3	1060	923.997	3.6147	0.253059
Y105C5A.4	1008	871.997	0	0
C03A7.7	1174	1038	161.474	10.063
C03A7.8	1317	1181	144.24	7.90052
C03A7.14.1	1523	1387	294.812	13.7496
C03A7.14.2	1506	1370	47.9156	2.26244
R09F10.2	1212	1076	78.0626	4.69301
F35A5.3	1271	1135	96	5.47137
T01D1.6	1273	1137	156	8.87534
W09B12.1.1	2532	2396	0	0
W09B12.1.2	2468	2332	118	3.27321
Y44E3A.2	2208	2072	218	6.80592
Y48B6A.8	2202	2066	57	1.7847
Y48B6A.7	1930	1794	23	0.829327
C42D8.5a.1	3082	2946	898.843	19.7365
C42D8.5a.2	3105	2969	159.794	3.48154
C42D8.5b	1383	1247	42.3632	2.19757
ZK455.1.1	2831	2695	3912.82	93.9185
ZK455.1.2	3072	2936	12.1826	0.268412
F54H12.1a	2739	2603	12849.2	319.318
F54H12.1c.1	2562	2426	39.6183	1.05639
F54H12.1c.2	2500	2364	0	0
K11G12.2	1957	1821	23	0.817031
