target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1675.73	2432.53	58.0361
Y110A7A.10.2	1787	1646.73	90.8897	2.20666
F27C8.1.1	1739	1598.73	164.673	4.11805
F27C8.1.2	1931	1790.73	9.32674	0.20823
F07C3.7	1738	1597.73	416	10.4096
F52H2.2a	1740	1599.73	383.569	9.58607
F52H2.2b	1738	1597.73	56.431	1.41208
T13A10.10a	1796	1655.73	305.771	7.38331
T13A10.10b	1598	1457.73	27.2285	0.746777
C55C2.5a	1834	1693.73	89.6744	2.11674
C55C2.5b	1606	1465.73	0	0
C55C2.5c	1671	1530.73	3.32558	0.0868585
C55C2.5d	1618	1477.73	0	0
T11F9.4a	1750	1609.73	236.726	5.87944
T11F9.4b	1682	1541.73	84.2744	2.1854
F54D12.3	1503	1362.73	41	1.20287
F28F9.4	1464	1323.73	34	1.02689
Y53H1C.1a	2080	1939.73	1694.07	34.9168
Y53H1C.1b	1958	1817.73	234.929	5.16715
C50F2.9	258	130.656	1	0.305995
C50F2.10	358	221.35	10	1.8062
F54B8.5	270	140.711	1	0.284129
Y38H6C.22	381	243.297	4	0.657306
T22H6.5	606	465.781	48	4.12007
T22H6.7	702	561.734	166	11.8147
M79.1a	4081	3940.73	835.754	8.47903
M79.1b	4012	3871.73	441.133	4.55521
M79.1c	3997	3856.73	17.1125	0.177394
C24F3.5a	4719	4578.73	165	1.44073
C24F3.5b	4730	4589.73	1.91848e-07	1.67115e-09
F12B6.1a	6670	6529.73	0.0253529	0.00015523
F12B6.1b	6624	6483.73	401.975	2.47867
Y39D8C.1	5546	5405.73	1032	7.63255
Y53C10A.9	4805	4664.73	104	0.891356
AC3.3	1405	1264.73	155.207	4.90633
F19G12.7	1719	1578.73	2	0.0506484
Y5H2A.3	1060	919.734	1	0.0434693
Y105C5A.4	1008	867.734	0	0
C03A7.7	1174	1033.73	95.1091	3.67839
C03A7.8	1317	1176.73	101.906	3.46231
C03A7.14.1	1523	1382.73	119.088	3.44331
C03A7.14.2	1506	1365.73	72.828	2.13195
R09F10.2	1212	1071.73	33.2963	1.24209
F35A5.3	1271	1130.73	54	1.90932
T01D1.6	1273	1132.73	114	4.02366
W09B12.1.1	2532	2391.73	112.113	1.87407
W09B12.1.2	2468	2327.73	94.8875	1.62975
Y44E3A.2	2208	2067.73	282	5.45254
Y48B6A.8	2202	2061.73	42	0.814444
Y48B6A.7	1930	1789.73	12	0.268063
C42D8.5a.1	3082	2941.73	761.198	10.3452
C42D8.5a.2	3105	2964.73	0.160655	0.00216648
C42D8.5b	1383	1242.73	52.8518	1.7003
ZK455.1.1	2831	2690.73	4838.51	71.8928
ZK455.1.2	3072	2931.73	36.4946	0.497679
F54H12.1a	2739	2598.73	19082.8	293.58
F54H12.1c.1	2562	2421.73	0	0
F54H12.1c.2	2500	2359.73	0	0
K11G12.2	1957	1816.73	22	0.484146
K11G12.7	1659	1518.73	14	0.368545
K03F8.2	1800	1659.73	29	0.698561
ZK973.5	1666	1525.73	6	0.157223
T09A5.3	1692	1551.73	16.1914	0.417169
ZC504.2.1	1770	1629.73	42.8877	1.05211
ZC504.2.2	1732	1591.73	48.1123	1.20845
C40C9.2	1909	1768.73	20	0.452077
R02E12.8	1680	1539.73	5	0.129828
D2092.3	1386	1245.73	37	1.18747
R01E6.4a	2015	1874.73	8.42577	0.179686
R01E6.4b	1570	1429.73	43.5742	1.21848
T05C12.2	1595	1454.73	5	0.137414
F25G6.4	1506	1365.73	72	2.10771
F25G6.3	1822	1681.73	106	2.51996
F53E10.2a	2249	2108.73	0	0
F53E10.2b	1616	1475.73	18.4549	0.499976
F53E10.2c	2333	2192.73	4.24817	0.0774571
F53E10.2d	438	298.773	2.41937	0.323746
F53E10.2e	1155	1014.73	1.20136	0.0473333
F53E10.2f	1071	930.734	1.70605	0.0732843
F53E10.2g	1532	1391.73	0	0
F53E10.2h	287	155.619	0	0
F53E10.2i	176	67.7913	0	0
F28F8.1	1617	1476.73	81	2.19294
C31H5.3a	1858	1717.73	23	0.535324
C31H5.3b	1841	1700.73	0	0
R06A4.10a	1702	1561.73	0	0
R06A4.10b	1693	1552.73	0	0
R06A4.10c	1841	1700.73	11.0073	0.258755
F27B3.2	1460	1319.73	14	0.424118
F48E3.7	1435	1294.73	17	0.524944
F59B1.9a	1692	1551.73	0	0
F59B1.9b	1659	1518.73	7	0.184273
T04C12.6.1	1366	1225.73	65.0055	2.12031
T04C12.6.2	1277	1136.73	6674.95	234.765
T04C12.6.3	1264	1123.73	0	0
