target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1681.07	1924.34	48.927
Y110A7A.10.2	1787	1652.07	89.7149	2.32107
F27C8.1.1	1739	1604.07	91	2.42477
F27C8.1.2	1931	1796.07	0	0
F07C3.7	1738	1603.07	163	4.34598
F52H2.2a	1740	1605.07	241.259	6.42454
F52H2.2b	1738	1603.07	44.741	1.19291
T13A10.10a	1796	1661.07	225	5.78958
T13A10.10b	1598	1463.07	0	0
C55C2.5a	1834	1699.07	42	1.05655
C55C2.5b	1606	1471.07	0	0
C55C2.5c	1671	1536.07	0	0
C55C2.5d	1618	1483.07	0	0
T11F9.4a	1750	1615.07	142.506	3.77133
T11F9.4b	1682	1547.07	32.4941	0.897733
F54D12.3	1503	1368.07	16	0.499878
F28F9.4	1464	1329.07	13	0.418069
Y53H1C.1a	2080	1945.07	1304.53	28.6664
Y53H1C.1b	1958	1823.07	194.465	4.55922
C50F2.9	258	133.679	3	0.959204
C50F2.10	358	226.045	9	1.70177
F54B8.5	270	144.388	0	0
Y38H6C.22	381	248.204	1	0.172204
T22H6.5	606	471.229	31	2.81179
T22H6.7	702	567.103	69	5.20044
M79.1a	4081	3946.07	705.18	7.63814
M79.1b	4012	3877.07	207.82	2.29107
M79.1c	3997	3862.07	0	0
C24F3.5a	4719	4584.07	42.284	0.394256
C24F3.5b	4730	4595.07	1.71595	0.0159612
F12B6.1a	6670	6535.07	0.0162215	0.000106095
F12B6.1b	6624	6489.07	204.984	1.35017
Y39D8C.1	5546	5411.07	413	3.26227
Y53C10A.9	4805	4670.07	29	0.265416
AC3.3	1405	1270.07	28.5481	0.960732
F19G12.7	1719	1584.07	1	0.0269823
Y5H2A.3	1060	925.071	0	0
Y105C5A.4	1008	873.071	0	0
C03A7.7	1174	1039.07	20.6945	0.851261
C03A7.8	1317	1182.07	11.7266	0.424014
C03A7.14.1	1523	1388.07	1.08493e-06	3.34075e-08
C03A7.14.2	1506	1371.07	15.5122	0.483577
R09F10.2	1212	1077.07	3.51777e-05	1.39597e-06
F35A5.3	1271	1136.07	2	0.075245
T01D1.6	1273	1138.07	18	0.676015
W09B12.1.1	2532	2397.07	0	0
W09B12.1.2	2468	2333.07	124	2.27168
Y44E3A.2	2208	2073.07	135	2.78338
Y48B6A.8	2202	2067.07	26	0.537614
Y48B6A.7	1930	1795.07	4	0.0952426
C42D8.5a.1	3082	2947.07	4.48052e-07	6.49816e-09
C42D8.5a.2	3105	2970.07	88.8702	1.27892
C42D8.5b	1383	1248.07	25.3275	0.867373
ZK455.1.1	2831	2696.07	2868.25	45.4715
ZK455.1.2	3072	2937.07	48.7481	0.709408
F54H12.1a	2739	2604.07	14429	236.829
F54H12.1c.1	2562	2427.07	0	0
F54H12.1c.2	2500	2365.07	0	0
K11G12.2	1957	1822.07	6	0.140747
K11G12.7	1659	1524.07	4	0.112178
K03F8.2	1800	1665.07	6	0.154018
ZK973.5	1666	1531.07	0	0
T09A5.3	1692	1557.07	11.1129	0.305051
ZC504.2.1	1770	1635.07	0	0
ZC504.2.2	1732	1597.07	41	1.09727
C40C9.2	1909	1774.07	4	0.09637
R02E12.8	1680	1545.07	1	0.0276633
D2092.3	1386	1251.07	14	0.478299
R01E6.4a	2015	1880.07	16.8995	0.384196
R01E6.4b	1570	1435.07	6.10048	0.181695
T05C12.2	1595	1460.07	3	0.0878214
F25G6.4	1506	1371.07	42	1.30931
F25G6.3	1822	1687.07	63.0485	1.59733
F53E10.2a	2249	2114.07	1.329e-07	2.68695e-09
F53E10.2b	1616	1481.07	7.91474	0.228409
F53E10.2c	2333	2198.07	8.21459	0.159734
F53E10.2d	438	304.083	0	0
F53E10.2e	1155	1020.07	0	0
F53E10.2f	1071	936.071	0	0
