target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1686.75	2903.47	59.8413
Y110A7A.10.2	1787	1657.75	0.0465016	0.000975176
F27C8.1.1	1739	1609.75	222	4.79434
F27C8.1.2	1931	1801.75	0	0
F07C3.7	1738	1608.75	328	7.08793
F52H2.2a	1740	1610.75	399.079	8.61322
F52H2.2b	1738	1608.75	78.9205	1.70544
T13A10.10a	1796	1666.75	340.208	7.09591
T13A10.10b	1598	1468.75	53.7922	1.27323
C55C2.5a	1834	1704.75	86.5308	1.76459
C55C2.5b	1606	1476.75	0	0
C55C2.5c	1671	1541.75	3.30392	0.0744989
C55C2.5d	1618	1488.75	3.16523	0.0739124
T11F9.4a	1750	1620.75	172.833	3.70718
T11F9.4b	1682	1552.75	221.167	4.95169
F54D12.3	1503	1373.75	36	0.911022
F28F9.4	1464	1334.75	12	0.312547
Y53H1C.1a	2080	1950.75	1897.05	33.8074
Y53H1C.1b	1958	1828.75	208.555	3.96462
C50F2.9	258	139.893	5	1.24253
C50F2.10	358	231.8	10	1.49976
F54B8.5	270	150.42	0	0
Y38H6C.22	381	254.045	0	0
T22H6.5	606	476.802	62	4.52052
T22H6.7	702	572.753	153	9.28665
M79.1a	4081	3951.75	859.256	7.55906
M79.1b	4012	3882.75	337.744	3.024
M79.1c	3997	3867.75	0	0
C24F3.5a	4719	4589.75	61.0101	0.462112
C24F3.5b	4730	4600.75	56.9899	0.430629
F12B6.1a	6670	6540.75	0.0205614	0.000109285
F12B6.1b	6624	6494.75	300.979	1.61105
Y39D8C.1	5546	5416.75	647	4.15241
Y53C10A.9	4805	4675.75	90	0.669153
AC3.3	1405	1275.75	175.231	4.77505
F19G12.7	1719	1589.75	1	0.0218678
Y5H2A.3	1060	930.753	9.27629	0.346477
Y105C5A.4	1008	878.753	0	0
C03A7.7	1174	1044.75	102.514	3.41119
C03A7.8	1317	1187.75	96.3809	2.82098
C03A7.14.1	1523	1393.75	136.148	3.39594
C03A7.14.2	1506	1376.75	32.2536	0.814437
R09F10.2	1212	1082.75	65.5433	2.10443
F35A5.3	1271	1141.75	49	1.49197
T01D1.6	1273	1143.75	122	3.70819
W09B12.1.1	2532	2402.75	0	0
W09B12.1.2	2468	2338.75	206	3.06209
Y44E3A.2	2208	2078.75	244	4.08058
Y48B6A.8	2202	2072.75	38	0.63734
Y48B6A.7	1930	1800.75	3	0.0579165
C42D8.5a.1	3082	2952.75	352.792	4.15361
C42D8.5a.2	3105	2975.75	0.00928995	0.00010853
C42D8.5b	1383	1253.75	34.1991	0.948282
ZK455.1.1	2831	2701.75	5088	65.4691
ZK455.1.2	3072	2942.75	0	0
F54H12.1a	2739	2609.75	21442.2	285.63
F54H12.1c.1	2562	2432.75	100.761	1.43989
F54H12.1c.2	2500	2370.75	9.94118e-05	1.45776e-06
K11G12.2	1957	1827.75	14	0.266284
K11G12.7	1659	1529.75	7	0.159079
K03F8.2	1800	1670.75	26	0.540998
ZK973.5	1666	1536.75	1	0.022622
T09A5.3	1692	1562.75	15	0.333684
ZC504.2.1	1770	1640.75	100.998	2.13995
ZC504.2.2	1732	1602.75	0.00196954	4.27201e-05
C40C9.2	1909	1779.75	18	0.351599
R02E12.8	1680	1550.75	6	0.134507
D2092.3	1386	1256.75	43	1.18947
R01E6.4a	2015	1885.75	33.9012	0.624978
R01E6.4b	1570	1440.75	11.0988	0.267807
T05C12.2	1595	1465.75	2	0.0474356
F25G6.4	1506	1376.75	109	2.75236
F25G6.3	1822	1692.75	148	3.03951
F53E10.2a	2249	2119.75	2.55242	0.0418602
F53E10.2b	1616	1486.75	0	0
F53E10.2c	2333	2203.75	0	0
