target_id	length	eff_length	est_counts	tpm
Y110A7A.10.1	1816	1685.01	2948	57.5031
Y110A7A.10.2	1787	1656.01	0.000135173	2.68283e-06
F27C8.1.1	1739	1608.01	230.625	4.71394
F27C8.1.2	1931	1800.01	9.37504	0.171185
F07C3.7	1738	1607.01	733	14.9917
F52H2.2a	1740	1609.01	496.083	10.1336
F52H2.2b	1738	1607.01	18.9169	0.3869
T13A10.10a	1796	1665.01	562.54	11.1046
T13A10.10b	1598	1467.01	47.4601	1.06331
C55C2.5a	1834	1703.01	125.781	2.42753
C55C2.5b	1606	1475.01	0	0
C55C2.5c	1671	1540.01	4.21876	0.0900383
C55C2.5d	1618	1487.01	0	0
T11F9.4a	1750	1619.01	290.696	5.90141
T11F9.4b	1682	1551.01	352.304	7.46568
F54D12.3	1503	1372.01	58	1.38943
F28F9.4	1464	1333.01	43	1.06023
Y53H1C.1a	2080	1949.01	1523.39	25.6899
Y53H1C.1b	1958	1827.01	260.184	4.68064
C50F2.9	258	136.746	16	3.84566
C50F2.10	358	229.908	20	2.85918
F54B8.5	270	147.546	0	0
Y38H6C.22	381	252.178	33	4.30102
T22H6.5	606	475.109	153	10.5843
T22H6.7	702	571.008	291	16.7501
M79.1a	4081	3950.01	595.371	4.95399
M79.1b	4012	3881.01	482.746	4.08827
M79.1c	3997	3866.01	17.8835	0.152039
C24F3.5a	4719	4588.01	288	2.06317
C24F3.5b	4730	4599.01	0	0
F12B6.1a	6670	6539.01	0.034384	0.000172827
F12B6.1b	6624	6493.01	425.966	2.15623
Y39D8C.1	5546	5415.01	993	6.02721
Y53C10A.9	4805	4674.01	186	1.30794
AC3.3	1405	1274.01	137.536	3.54823
F19G12.7	1719	1588.01	0	0
Y5H2A.3	1060	929.008	3	0.106137
Y105C5A.4	1008	877.008	0	0
C03A7.7	1174	1043.01	119.383	3.76202
C03A7.8	1317	1186.01	84.9796	2.35501
C03A7.14.1	1523	1392.01	184.879	4.36527
C03A7.14.2	1506	1375.01	32.7236	0.782206
R09F10.2	1212	1081.01	24.7338	0.752016
F35A5.3	1271	1140.01	72	2.07582
T01D1.6	1273	1142.01	91	2.61902
W09B12.1.1	2532	2401.01	75.0315	1.02711
W09B12.1.2	2468	2337.01	216.969	3.05142
Y44E3A.2	2208	2077.01	293	4.63655
Y48B6A.8	2202	2071.01	57	0.904605
Y48B6A.7	1930	1799.01	21	0.383665
C42D8.5a.1	3082	2951.01	731.684	8.14928
C42D8.5a.2	3105	2974.01	19.1466	0.211599
C42D8.5b	1383	1252.01	69.332	1.82009
ZK455.1.1	2831	2700.01	5564.98	67.743
ZK455.1.2	3072	2941.01	61.0168	0.681897
F54H12.1a	2739	2608.01	19024.5	239.756
